"Label (Grouping)","Population 16 years and over with earnings","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","1,625,707","40,394","1,102,861","21,713","25,241","80,958","153,079","231,991","199,508","80,974","136,602","172,795","52,085","68,916","","47,295","32,838","36,659","42,026","58,583","70,216"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,625,707","(X)","1,102,861","2.0%","2.3%","7.3%","13.9%","21.0%","18.1%","7.3%","12.4%","15.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","872,074","47,126","638,488","12,949","11,119","36,600","75,509","115,415","117,503","52,165","87,274","129,954","58,298","77,403","","54,766","39,766","43,736","52,063","71,346","85,863"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","872,074","(X)","638,488","2.0%","1.7%","5.7%","11.8%","18.1%","18.4%","8.2%","13.7%","20.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","753,633","33,272","464,373","8,764","14,122","44,358","77,570","116,576","82,005","28,809","49,328","42,841","45,626","57,248","","40,087","25,570","28,895","34,874","49,010","61,952"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","753,633","(X)","464,373","1.9%","3.0%","9.6%","16.7%","25.1%","17.7%","6.2%","10.6%","9.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,284,618","37,851","1,519,451","27,808","35,607","132,140","227,077","335,551","259,728","112,297","176,495","212,748","50,066","65,894","","43,032","27,314","35,301","40,667","55,682","67,351"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,284,618","(X)","1,519,451","1.8%","2.3%","8.7%","14.9%","22.1%","17.1%","7.4%","11.6%","14.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,202,927","43,482","856,792","14,534","17,735","59,349","111,630","164,606","153,508","68,831","113,712","152,887","54,770","73,899","","51,094","31,553","41,636","49,791","68,927","82,917"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,202,927","(X)","856,792","1.7%","2.1%","6.9%","13.0%","19.2%","17.9%","8.0%","13.3%","17.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,081,691","32,167","662,659","13,274","17,872","72,791","115,447","170,945","106,220","43,466","62,783","59,861","43,557","55,544","","37,550","22,480","27,044","34,083","47,218","59,426"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,081,691","(X)","662,659","2.0%","2.7%","11.0%","17.4%","25.8%","16.0%","6.6%","9.5%","9.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,241,866","37,554","1,521,622","34,459","48,769","164,058","220,657","290,594","254,495","108,575","176,138","223,877","50,088","64,494","","43,207","25,977","33,568","40,916","55,685","65,857"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,241,866","(X)","1,521,622","2.3%","3.2%","10.8%","14.5%","19.1%","16.7%","7.1%","11.6%","14.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,147,205","46,317","826,593","15,879","20,488","66,822","95,439","141,826","143,059","64,299","113,094","165,687","55,971","75,001","","52,246","31,573","44,990","52,442","69,378","82,457"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,147,205","(X)","826,593","1.9%","2.5%","8.1%","11.5%","17.2%","17.3%","7.8%","13.7%","20.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,094,661","30,686","695,029","18,580","28,281","97,236","125,218","148,768","111,436","44,276","63,044","58,190","41,923","51,999","","35,758","19,570","25,942","32,208","49,249","58,210"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,094,661","(X)","695,029","2.7%","4.1%","14.0%","18.0%","21.4%","16.0%","6.4%","9.1%","8.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","769,012","41,192","491,896","5,665","6,985","23,911","63,946","115,792","93,736","41,534","63,336","76,991","54,040","71,330","","45,966","31,011","36,375","43,898","53,866","69,390"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","769,012","(X)","491,896","1.2%","1.4%","4.9%","13.0%","23.5%","19.1%","8.4%","12.9%","15.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","393,283","46,286","273,644","2,620","3,415","12,688","29,001","58,999","51,627","22,619","40,757","51,918","59,194","77,884","","52,149","32,142","41,301","54,061","63,107","81,854"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","393,283","(X)","273,644","1.0%","1.2%","4.6%","10.6%","21.6%","18.9%","8.3%","14.9%","19.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","375,729","36,498","218,252","3,045","3,570","11,223","34,945","56,793","42,109","18,915","22,579","25,073","49,824","63,113","","40,876","28,273","31,194","36,099","48,718","62,836"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","375,729","(X)","218,252","1.4%","1.6%","5.1%","16.0%","26.0%","19.3%","8.7%","10.3%","11.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,430,455","52,436","2,432,449","36,219","26,906","115,108","235,927","372,916","356,800","176,761","365,065","746,747","69,530","89,082","","61,166","33,805","40,888","50,548","76,711","99,484"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,430,455","(X)","2,432,449","1.5%","1.1%","4.7%","9.7%","15.3%","14.7%","7.3%","15.0%","30.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,748,998","59,729","1,320,643","16,053","14,548","54,764","115,714","184,023","187,778","90,880","192,152","464,731","74,663","97,934","","68,040","38,901","47,057","61,134","90,008","116,827"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,748,998","(X)","1,320,643","1.2%","1.1%","4.1%","8.8%","13.9%","14.2%","6.9%","14.5%","35.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,681,457","46,337","1,111,806","20,166","12,358","60,344","120,213","188,893","169,022","85,881","172,913","282,016","63,733","78,567","","53,748","26,691","33,132","42,177","66,173","86,330"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,681,457","(X)","1,111,806","1.8%","1.1%","5.4%","10.8%","17.0%","15.2%","7.7%","15.6%","25.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,050,759","52,528","2,622,783","32,877","27,742","81,210","203,143","393,149","396,091","198,569","441,300","848,702","73,999","101,187","","62,009","34,472","42,196","49,021","77,137","95,136"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,050,759","(X)","2,622,783","1.3%","1.1%","3.1%","7.7%","15.0%","15.1%","7.6%","16.8%","32.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,070,470","61,410","1,468,476","17,430","14,290","38,094","98,108","201,190","209,531","104,654","236,253","548,926","79,782","112,613","","71,293","39,903","50,768","57,774","90,795","116,421"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,070,470","(X)","1,468,476","1.2%","1.0%","2.6%","6.7%","13.7%","14.3%","7.1%","16.1%","37.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,980,289","44,843","1,154,307","15,447","13,452","43,116","105,035","191,959","186,560","93,915","205,047","299,776","67,043","86,652","","53,409","28,465","33,506","41,777","64,567","83,160"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,980,289","(X)","1,154,307","1.3%","1.2%","3.7%","9.1%","16.6%","16.2%","8.1%","17.8%","26.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,282,612","40,610","3,375,723","54,658","65,339","214,296","419,416","674,121","600,327","261,841","453,274","632,451","55,432","72,859","","47,259","30,404","35,865","41,762","63,077","78,984"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,282,612","(X)","3,375,723","1.6%","1.9%","6.3%","12.4%","20.0%","17.8%","7.8%","13.4%","18.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,780,340","48,049","1,938,740","28,281","32,671","94,361","198,614","350,368","345,378","155,226","275,303","458,538","61,623","81,467","","54,664","36,227","41,633","51,679","78,167","97,014"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,780,340","(X)","1,938,740","1.5%","1.7%","4.9%","10.2%","18.1%","17.8%","8.0%","14.2%","23.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,502,272","32,767","1,436,983","26,377","32,668","119,935","220,802","323,753","254,949","106,615","177,971","173,913","49,665","61,245","","39,439","22,296","28,232","34,078","52,364","69,239"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,502,272","(X)","1,436,983","1.8%","2.3%","8.3%","15.4%","22.5%","17.7%","7.4%","12.4%","12.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,282,114","47,393","2,115,697","29,686","28,714","82,579","194,000","388,798","394,780","192,318","332,466","472,356","62,485","82,104","","54,047","33,274","39,997","49,014","68,504","82,324"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,282,114","(X)","2,115,697","1.4%","1.4%","3.9%","9.2%","18.4%","18.7%","9.1%","15.7%","22.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,723,770","54,101","1,210,939","15,818","14,678","36,531","90,144","191,297","230,143","111,168","197,800","323,360","67,184","91,024","","61,950","40,519","46,641","58,978","80,711","92,432"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,723,770","(X)","1,210,939","1.3%","1.2%","3.0%","7.4%","15.8%","19.0%","9.2%","16.3%","26.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,558,344","40,545","904,758","13,868","14,036","46,048","103,856","197,501","164,637","81,150","134,666","148,996","55,984","70,165","","46,770","26,364","31,505","40,620","59,325","76,253"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,558,344","(X)","904,758","1.5%","1.6%","5.1%","11.5%","21.8%","18.2%","9.0%","14.9%","16.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,400,715","35,467","967,485","22,925","35,085","108,551","161,435","225,615","158,445","55,730","91,356","108,343","44,499","57,848","","40,342","26,775","32,789","37,485","50,731","57,266"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,400,715","(X)","967,485","2.4%","3.6%","11.2%","16.7%","23.3%","16.4%","5.8%","9.4%","11.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","716,719","41,310","520,349","8,593","14,113","42,406","73,533","112,377","92,748","36,572","61,975","78,032","51,041","66,105","","46,767","31,381","40,281","47,196","64,800","70,582"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","716,719","(X)","520,349","1.7%","2.7%","8.1%","14.1%","21.6%","17.8%","7.0%","11.9%","15.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","683,996","30,531","447,136","14,332","20,972","66,145","87,902","113,238","65,697","19,158","29,381","30,311","39,245","48,240","","34,345","19,639","25,964","31,293","44,097","52,805"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","683,996","(X)","447,136","3.2%","4.7%","14.8%","19.7%","25.3%","14.7%","4.3%","6.6%","6.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,272,267","40,267","2,221,176","37,871","43,241","160,249","328,545","489,565","386,674","161,778","280,823","332,430","51,426","68,508","","45,456","28,414","35,612","41,874","57,693","70,894"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,272,267","(X)","2,221,176","1.7%","1.9%","7.2%","14.8%","22.0%","17.4%","7.3%","12.6%","15.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,695,106","46,270","1,232,690","18,168","22,537","66,941","148,815","246,206","222,258","99,032","173,805","234,928","56,844","76,383","","52,525","33,801","41,778","51,198","67,624","88,118"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,695,106","(X)","1,232,690","1.5%","1.8%","5.4%","12.1%","20.0%","18.0%","8.0%","14.1%","19.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,577,161","34,222","988,486","19,703","20,704","93,308","179,730","243,359","164,416","62,746","107,018","97,502","44,882","58,687","","39,323","21,745","28,651","35,537","49,601","62,286"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,577,161","(X)","988,486","2.0%","2.1%","9.4%","18.2%","24.6%","16.6%","6.3%","10.8%","9.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","619,007","37,573","391,275","9,327","8,983","31,644","56,243","86,959","66,372","29,355","47,111","55,281","50,404","67,243","","43,414","30,133","35,674","39,948","50,894","68,235"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","619,007","(X)","391,275","2.4%","2.3%","8.1%","14.4%","22.2%","17.0%","7.5%","12.0%","14.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","327,439","43,975","224,539","3,752","5,648","15,572","26,963","45,414","38,055","18,932","30,721","39,482","54,987","75,049","","51,103","35,119","45,143","48,499","61,505","79,710"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","327,439","(X)","224,539","1.7%","2.5%","6.9%","12.0%","20.2%","16.9%","8.4%","13.7%","17.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","291,568","32,050","166,736","5,575","3,335","16,072","29,280","41,545","28,317","10,423","16,390","15,799","44,550","56,730","","36,557","19,806","26,354","32,932","44,867","62,648"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","291,568","(X)","166,736","3.3%","2.0%","9.6%","17.6%","24.9%","17.0%","6.3%","9.8%","9.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,123,041","41,403","752,626","15,878","14,880","47,614","90,374","158,676","152,035","58,010","95,510","119,649","53,767","70,705","","49,244","33,308","38,758","44,111","58,817","74,208"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,123,041","(X)","752,626","2.1%","2.0%","6.3%","12.0%","21.1%","20.2%","7.7%","12.7%","15.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","599,297","48,642","432,649","8,506","8,057","21,865","42,746","79,939","90,311","34,242","61,584","85,399","59,056","78,475","","55,557","37,436","44,274","55,181","68,552","86,911"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","599,297","(X)","432,649","2.0%","1.9%","5.1%","9.9%","18.5%","20.9%","7.9%","14.2%","19.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","523,744","34,864","319,977","7,372","6,823","25,749","47,628","78,737","61,724","23,768","33,926","34,250","48,279","60,200","","41,272","24,084","31,336","35,021","50,596","66,270"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","523,744","(X)","319,977","2.3%","2.1%","8.0%","14.9%","24.6%","19.3%","7.4%","10.6%","10.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,666,536","40,360","1,116,768","19,937","21,989","82,156","167,635","251,237","183,378","79,949","128,006","182,481","50,902","69,033","","44,247","34,591","37,581","43,743","59,999","75,253"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,666,536","(X)","1,116,768","1.8%","2.0%","7.4%","15.0%","22.5%","16.4%","7.2%","11.5%","16.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","896,941","43,913","636,702","11,225","11,824","36,206","92,315","131,678","107,084","45,489","77,443","123,438","53,821","74,052","","49,663","37,212","41,450","50,926","68,484","87,252"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","896,941","(X)","636,702","1.8%","1.9%","5.7%","14.5%","20.7%","16.8%","7.1%","12.2%","19.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","769,595","35,841","480,066","8,712","10,165","45,950","75,320","119,559","76,294","34,460","50,563","59,043","46,691","62,377","","40,424","30,276","32,870","38,570","51,854","69,550"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","769,595","(X)","480,066","1.8%","2.1%","9.6%","15.7%","24.9%","15.9%","7.2%","10.5%","12.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","822,109","49,617","546,989","4,209","5,757","21,898","51,101","99,098","94,326","46,938","88,389","135,273","64,517","85,197","","55,756","38,365","42,335","48,955","67,982","84,072"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","822,109","(X)","546,989","0.8%","1.1%","4.0%","9.3%","18.1%","17.2%","8.6%","16.2%","24.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","435,024","57,863","311,082","2,260","2,494","10,481","22,391","48,182","47,148","27,012","52,440","98,674","73,072","96,444","","66,654","41,137","49,876","61,006","81,559","103,215"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","435,024","(X)","311,082","0.7%","0.8%","3.4%","7.2%","15.5%","15.2%","8.7%","16.9%","31.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","387,085","41,552","235,907","1,949","3,263","11,417","28,710","50,916","47,178","19,926","35,949","36,599","55,028","70,367","","47,833","34,153","35,764","39,050","55,778","74,417"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","387,085","(X)","235,907","0.8%","1.4%","4.8%","12.2%","21.6%","20.0%","8.4%","15.2%","15.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,091,166","51,884","3,445,770","41,460","46,743","162,319","320,902","531,747","493,638","251,878","517,657","1,079,426","70,215","97,610","","60,145","31,962","40,193","50,489","76,725","98,247"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,091,166","(X)","3,445,770","1.2%","1.4%","4.7%","9.3%","15.4%","14.3%","7.3%","15.0%","31.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,688,334","60,351","1,959,666","19,810","28,422","74,877","162,992","271,346","267,644","138,964","283,354","712,257","75,939","109,852","","68,827","36,864","48,595","58,845","91,151","121,917"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,688,334","(X)","1,959,666","1.0%","1.5%","3.8%","8.3%","13.8%","13.7%","7.1%","14.5%","36.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,402,832","43,165","1,486,104","21,650","18,321","87,442","157,910","260,401","225,994","112,914","234,303","367,169","63,224","81,467","","51,034","25,736","31,510","41,791","64,680","82,728"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,402,832","(X)","1,486,104","1.5%","1.2%","5.9%","10.6%","17.5%","15.2%","7.6%","15.8%","24.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,039,459","36,381","677,278","13,848","18,479","62,348","105,383","139,692","102,071","48,796","81,945","104,716","49,831","64,458","","41,866","26,396","31,961","39,701","55,322","73,105"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,039,459","(X)","677,278","2.0%","2.7%","9.2%","15.6%","20.6%","15.1%","7.2%","12.1%","15.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","546,824","40,673","379,861","6,469","7,460","33,455","54,833","75,961","51,070","26,504","51,209","72,900","53,356","70,323","","46,491","30,738","36,377","45,698","64,587","90,005"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","546,824","(X)","379,861","1.7%","2.0%","8.8%","14.4%","20.0%","13.4%","7.0%","13.5%","19.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","492,635","32,347","297,417","7,379","11,019","28,893","50,550","63,731","51,001","22,292","30,736","31,816","45,623","56,967","","37,774","20,330","27,001","33,991","50,484","64,484"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","492,635","(X)","297,417","2.5%","3.7%","9.7%","17.0%","21.4%","17.1%","7.5%","10.3%","10.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New York","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,459,024","47,414","6,877,871","101,510","113,864","340,219","688,882","1,141,806","1,083,021","515,187","1,014,124","1,879,258","64,583","93,484","","53,631","29,259","37,377","46,298","71,567","87,776"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,459,024","(X)","6,877,871","1.5%","1.7%","4.9%","10.0%","16.6%","15.7%","7.5%","14.7%","27.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,368,548","52,991","3,780,567","52,390","56,685","167,589","340,626","580,631","576,836","273,323","563,619","1,168,868","69,350","103,555","","60,517","33,425","43,834","53,992","81,761","102,467"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,368,548","(X)","3,780,567","1.4%","1.5%","4.4%","9.0%","15.4%","15.3%","7.2%","14.9%","30.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
