"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 to $99,999","$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"        Estimate","2,191,372","31,517","1,253,548","1.4%","4.1%","12.3%","14.9%","19.8%","17.5%","7.4%","11.4%","11.2%","47,155","58,026","","36,410","16,404","26,037","33,674","50,273","66,614","","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","999,893","25,277","605,484","3.4%","6.6%","18.2%","18.4%","19.3%","13.1%","5.0%","7.5%","8.4%","(X)","48,767","","29,842","18,307","23,604","27,710","41,808","53,957","","18.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","525,899","29,041","340,394","2.8%","4.8%","16.6%","16.8%","18.5%","13.6%","5.7%","9.3%","11.8%","41,037","55,626","","33,961","22,756","27,967","32,753","50,328","71,320","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","473,994","21,472","265,090","4.3%","8.9%","20.3%","20.5%","20.2%","12.4%","4.2%","5.3%","4.0%","32,316","39,959","","25,368","13,316","18,540","24,365","36,394","48,021","","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,007,118","32,288","6,311,311","2.0%","4.0%","13.2%","14.7%","19.5%","15.1%","6.4%","10.7%","14.3%","(X)","64,597","","37,958","19,253","28,405","35,937","51,446","68,079","","21.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,167,836","36,969","3,521,841","1.6%","3.7%","12.3%","13.2%","18.4%","14.9%","6.6%","11.3%","17.9%","50,388","72,521","","42,318","22,032","33,312","41,907","60,477","81,957","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,839,282","28,794","2,789,470","2.4%","4.4%","14.2%","16.6%","20.9%","15.4%","6.2%","10.0%","9.8%","42,113","54,591","","33,123","15,373","22,941","30,840","45,431","60,255","","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,841,127","26,750","2,968,231","2.1%","4.8%","17.8%","20.0%","20.4%","13.9%","5.2%","7.1%","8.7%","(X)","50,957","","31,048","17,028","24,849","30,326","42,842","57,828","","16.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,513,256","31,069","1,678,920","1.9%","3.8%","15.1%","17.8%","19.7%","15.1%","5.9%","8.8%","11.8%","41,950","57,755","","35,941","19,531","28,693","36,795","52,810","75,477","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,327,871","22,813","1,289,311","2.4%","6.0%","21.3%","22.7%","21.3%","12.3%","4.3%","5.0%","4.6%","33,459","42,106","","26,620","13,450","20,796","25,313","36,751","49,251","","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","418,349","28,728","259,162","2.5%","3.7%","15.2%","20.9%","23.4%","14.8%","5.1%","7.1%","7.5%","(X)","50,269","","33,533","25,026","29,454","31,754","40,475","56,753","","16.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","224,517","35,535","157,119","2.2%","3.1%","12.0%","17.0%","22.2%","16.7%","6.5%","9.6%","10.7%","44,660","57,955","","41,745","30,265","36,819","41,415","51,008","68,701","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","193,832","22,369","102,043","3.0%","4.6%","20.1%","26.9%","25.2%","11.7%","2.8%","3.2%","2.4%","32,462","38,433","","26,551","18,268","21,178","24,752","34,982","49,700","","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,904,063","27,935","3,557,547","2.1%","4.3%","14.9%","17.9%","22.2%","15.9%","6.3%","8.1%","8.3%","(X)","52,195","","32,770","17,615","26,714","31,513","46,594","61,626","","15.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,055,704","33,646","2,009,651","1.9%","3.4%","11.9%","14.9%","21.9%","17.4%","7.1%","9.9%","11.5%","46,176","59,150","","40,047","20,743","32,653","38,723","56,234","73,322","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,848,359","22,887","1,547,896","2.3%","5.5%","18.9%","21.7%","22.4%","13.9%","5.3%","5.8%","4.1%","35,746","43,166","","27,411","14,321","21,023","26,648","38,498","54,118","","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,911,568","25,974","1,220,017","2.8%","6.2%","19.2%","19.2%","20.6%","13.6%","5.0%","6.7%","6.8%","(X)","47,161","","30,785","17,793","25,283","30,094","41,779","51,631","","16.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,021,983","31,158","704,111","2.5%","4.9%","15.2%","17.1%","20.1%","15.6%","6.1%","8.9%","9.5%","41,420","54,378","","36,549","20,950","30,703","36,942","51,945","67,817","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","889,585","21,379","515,906","3.2%","7.8%","24.6%","22.1%","21.1%","10.9%","3.5%","3.7%","3.1%","31,274","37,311","","25,125","14,267","20,010","24,108","35,719","42,796","","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,999,229","25,851","1,070,246","2.4%","4.4%","15.0%","17.4%","22.1%","15.2%","6.0%","8.8%","8.7%","(X)","53,105","","30,926","18,632","24,300","29,568","41,282","55,846","","14.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,044,103","31,363","622,043","1.9%","3.5%","13.4%","14.1%","22.3%","16.1%","6.8%","10.3%","11.4%","45,976","59,725","","36,472","22,188","28,904","35,728","50,889","69,552","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","955,126","21,243","448,203","3.1%","5.7%","17.2%","21.8%","21.8%","14.0%","4.9%","6.7%","4.9%","36,027","43,918","","25,484","13,501","20,032","24,065","32,294","46,538","","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,652,999","30,115","4,028,538","1.8%","3.5%","13.9%","17.5%","22.2%","15.9%","6.3%","8.8%","10.1%","(X)","55,670","","35,178","20,095","27,896","33,393","47,252","64,118","","17.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,444,424","35,982","2,273,728","1.7%","2.8%","10.8%","14.6%","21.9%","17.3%","6.8%","10.2%","13.8%","47,956","63,414","","41,575","24,298","34,631","40,930","56,692","80,121","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,208,575","24,311","1,754,810","2.0%","4.4%","18.0%","21.2%","22.6%","14.1%","5.5%","7.0%","5.2%","37,089","45,636","","28,878","14,518","21,797","28,273","39,812","54,539","","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","576,657","31,858","341,949","1.7%","3.6%","10.2%","16.7%","23.9%","14.9%","7.7%","10.7%","10.6%","(X)","57,462","","38,943","23,042","29,787","36,795","50,327","68,393","","19.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","292,798","37,604","195,506","1.8%","2.5%","9.1%","14.6%","22.7%","15.9%","7.5%","11.3%","14.5%","48,842","64,216","","43,383","27,436","34,782","42,347","60,888","78,543","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","283,859","27,206","146,443","1.5%","4.9%","11.7%","19.4%","25.5%","13.7%","7.9%","9.9%","5.4%","41,412","48,444","","33,118","15,478","24,882","31,716","41,166","61,685","","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,275,585","26,019","1,395,210","2.3%","5.0%","19.2%","20.3%","21.7%","13.4%","5.0%","6.6%","6.4%","(X)","46,811","","30,559","17,645","24,579","30,343","40,976","54,100","","18.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,177,387","31,129","774,037","2.0%","3.8%","15.1%","17.7%","22.4%","14.7%","6.0%","8.9%","9.5%","41,464","54,309","","36,094","20,305","30,204","36,694","51,551","70,568","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,098,198","21,864","621,173","2.7%","6.6%","24.3%","23.7%","20.9%","11.8%","3.8%","3.7%","2.5%","31,330","37,468","","25,651","14,483","20,066","25,630","34,100","47,235","","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","475,594","26,652","304,807","2.7%","4.2%","19.1%","21.0%","25.7%","12.4%","4.1%","5.0%","5.7%","(X)","44,512","","31,546","21,954","26,683","30,719","38,775","47,224","","12.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","249,965","31,978","174,338","2.3%","3.5%","14.8%","18.8%","26.4%","14.5%","5.1%","6.5%","8.3%","40,285","50,398","","37,067","26,220","33,112","36,329","46,742","54,544","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","225,629","22,275","130,469","3.3%","5.2%","24.9%","23.9%","24.9%","9.6%","2.9%","3.0%","2.4%","31,329","36,645","","26,001","13,059","21,187","26,045","33,452","42,656","","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,164,590","26,281","1,964,589","2.5%","5.3%","18.3%","19.3%","22.1%","13.3%","4.7%","6.7%","7.7%","(X)","49,479","","30,842","17,700","24,688","30,663","41,627","54,857","","16.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,642,635","30,786","1,096,181","2.3%","4.4%","15.5%","17.1%","21.0%","14.7%","5.8%","8.4%","10.9%","41,309","56,848","","35,454","20,402","30,100","35,910","51,676","72,251","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,521,955","22,513","868,408","2.7%","6.5%","22.0%","22.2%","23.4%","11.6%","3.4%","4.5%","3.7%","33,184","40,178","","26,367","14,616","20,060","26,611","36,144","47,054","","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,884,029","28,015","8,423,840","2.7%","5.9%","17.8%","16.5%","19.7%","13.8%","5.4%","8.1%","10.3%","(X)","53,445","","32,769","17,945","26,008","32,809","50,441","63,542","","17.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,981,113","32,200","4,887,008","2.3%","4.7%","15.8%","15.4%","18.3%","14.1%","5.9%","9.6%","14.0%","43,160","60,748","","38,638","21,584","30,973","40,618","61,212","81,155","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,902,916","23,201","3,536,832","3.2%","7.6%","20.5%","18.1%","21.5%","13.5%","4.6%","6.0%","5.1%","35,301","43,353","","27,552","12,839","21,202","27,252","44,008","52,474","","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,424,626","25,897","813,086","2.0%","4.7%","14.8%","17.1%","22.1%","15.0%","6.3%","8.5%","9.4%","(X)","53,711","","32,990","19,956","27,499","30,387","41,910","61,989","","15.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","786,054","35,071","516,719","1.6%","3.7%","10.6%","14.4%","22.3%","16.5%","7.1%","10.8%","13.0%","47,573","61,681","","42,188","25,222","35,691","40,227","54,587","76,027","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","638,572","18,110","296,367","2.8%","6.5%","22.2%","21.8%","21.7%","12.5%","4.9%","4.5%","3.1%","32,843","39,816","","22,728","15,043","19,475","21,286","31,526","49,051","","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","376,518","28,625","213,177","2.3%","3.3%","12.9%","19.2%","25.2%","16.4%","5.5%","7.8%","7.5%","(X)","50,698","","33,654","22,660","26,742","33,603","37,995","50,593","","13.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","191,640","31,696","116,972","2.3%","2.9%","11.3%","16.8%","24.6%","17.6%","6.4%","8.2%","10.0%","44,057","55,107","","37,331","25,606","30,156","40,162","44,914","60,857","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","184,878","25,675","96,205","2.3%","3.8%","14.9%","22.1%","26.0%","14.9%","4.4%","7.3%","4.4%","38,177","45,337","","30,558","16,920","23,083","29,473","34,003","45,465","","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,417,292","32,993","2,901,672","1.8%","3.3%","13.5%","15.1%","18.6%","14.6%","6.0%","10.6%","16.4%","(X)","63,610","","39,973","19,892","28,154","35,205","54,130","78,537","","15.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,315,278","40,286","1,647,641","1.7%","2.5%","11.1%","13.3%","16.9%","14.7%","6.4%","12.0%","21.5%","52,805","72,586","","47,231","23,899","32,455","42,373","70,409","101,238","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,102,014","27,575","1,254,031","2.0%","4.3%","16.6%","17.6%","21.0%","14.5%","5.5%","8.8%","9.8%","40,969","51,817","","32,291","16,070","23,068","29,754","42,620","58,563","","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,608,996","31,885","2,110,955","1.9%","3.0%","11.8%","14.9%","20.4%","16.0%","7.1%","11.5%","13.4%","(X)","60,839","","37,486","19,132","29,963","35,382","51,124","64,029","","13.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,932,018","39,269","1,255,580","1.7%","2.4%","9.7%","12.6%","18.4%","16.4%","7.9%","13.2%","17.7%","53,046","68,274","","45,674","22,469","35,068","42,344","63,029","79,782","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,676,978","25,803","855,375","2.2%","3.8%","15.0%","18.3%","23.3%","15.4%","6.0%","9.0%","7.0%","40,993","49,926","","30,913","14,674","23,145","29,146","40,182","52,715","","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","862,891","25,116","537,357","2.6%","6.7%","20.5%","17.9%","19.3%","13.9%","5.2%","7.0%","6.8%","(X)","47,238","","29,750","17,256","24,639","27,876","41,656","52,308","","16.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","452,880","31,379","306,258","2.5%","3.9%","15.4%","17.3%","19.1%","15.6%","6.9%","9.4%","9.9%","42,125","55,291","","36,869","22,451","32,053","36,950","50,633","69,342","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","410,011","20,084","231,099","2.8%","10.4%","27.3%","18.8%","19.5%","11.7%","3.0%","3.8%","2.7%","29,688","36,565","","22,498","12,136","18,006","22,880","36,921","46,939","","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,185,196","29,003","1,871,498","2.3%","3.3%","14.3%","18.6%","23.4%","17.1%","6.0%","7.9%","7.2%","(X)","51,514","","33,657","20,494","27,316","32,452","45,581","58,970","","14.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,648,940","34,626","1,066,242","2.1%","2.7%","11.4%","15.1%","23.3%","19.1%","7.0%","9.4%","10.0%","46,214","58,419","","40,505","23,830","32,397","40,619","55,730","67,108","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,536,256","23,873","805,256","2.7%","4.0%","18.1%","23.1%","23.5%","14.4%","4.8%","5.9%","3.4%","35,890","42,370","","28,478","14,648","22,229","27,494","37,318","51,937","","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","330,177","30,855","207,984","3.3%","3.6%","14.6%","15.4%","20.6%","16.7%","7.9%","10.4%","7.5%","(X)","52,020","","36,035","17,778","31,303","34,311","45,313","55,547","","13.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","178,363","40,427","121,966","2.2%","2.2%","11.2%","11.3%","19.2%","18.4%","9.6%","14.8%","11.1%","51,630","60,400","","46,861","23,362","43,850","46,754","54,371","61,858","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","151,814","23,135","86,018","4.8%","5.5%","19.3%","21.2%","22.7%","14.3%","5.4%","4.3%","2.5%","34,381","40,139","","26,951","10,495","22,738","26,348","36,509","52,023","","(X)"
