"Label (Grouping)","Population 16 years and over with earnings","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,602,881","(X)","1,046,008","1.9%","3.2%","11.9%","16.6%","21.8%","16.0%","6.7%","10.0%","11.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","856,554","39,416","610,527","10,127","15,510","58,478","87,716","122,350","102,454","45,607","72,343","95,942","50,872","67,783","","46,726","30,896","36,356","44,121","61,752","77,273"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","856,554","(X)","610,527","1.7%","2.5%","9.6%","14.4%","20.0%","16.8%","7.5%","11.8%","15.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","746,327","27,008","435,481","9,967","18,456","65,774","85,408","106,046","65,064","23,961","32,604","28,201","40,045","48,470","","31,925","18,975","22,553","28,635","41,299","52,291"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","746,327","(X)","435,481","2.3%","4.2%","15.1%","19.6%","24.4%","14.9%","5.5%","7.5%","6.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,226,473","31,227","1,434,353","24,809","49,835","194,322","263,376","316,578","228,794","91,972","123,369","141,298","42,206","56,076","","36,310","21,639","30,213","34,070","50,146","56,623"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,226,473","(X)","1,434,353","1.7%","3.5%","13.5%","18.4%","22.1%","16.0%","6.4%","8.6%","9.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,166,152","36,519","811,407","11,232","23,931","90,485","127,806","171,640","138,408","59,045","85,064","103,796","47,370","63,043","","42,034","24,649","35,802","41,778","59,617","67,529"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,166,152","(X)","811,407","1.4%","2.9%","11.2%","15.8%","21.2%","17.1%","7.3%","10.5%","12.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,060,321","26,326","622,946","13,577","25,904","103,837","135,570","144,938","90,386","32,927","38,305","37,502","37,379","47,002","","30,877","16,812","22,370","28,699","41,160","52,320"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,060,321","(X)","622,946","2.2%","4.2%","16.7%","21.8%","23.3%","14.5%","5.3%","6.1%","6.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,226,092","31,305","1,495,817","33,166","72,902","244,359","230,938","272,578","234,644","91,979","141,729","173,522","42,786","56,791","","36,602","21,282","29,383","35,199","50,273","57,058"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,226,092","(X)","1,495,817","2.2%","4.9%","16.3%","15.4%","18.2%","15.7%","6.1%","9.5%","11.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,146,427","40,803","824,938","16,250","31,944","102,095","104,457","132,479","140,022","56,420","100,337","140,934","51,453","67,760","","46,394","26,897","40,430","46,590","61,403","75,237"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,146,427","(X)","824,938","2.0%","3.9%","12.4%","12.7%","16.1%","17.0%","6.8%","12.2%","17.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,079,665","25,409","670,879","16,916","40,958","142,264","126,481","140,099","94,622","35,559","41,392","32,588","35,758","43,304","","29,238","16,272","21,952","27,884","42,567","51,066"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,079,665","(X)","670,879","2.5%","6.1%","21.2%","18.9%","20.9%","14.1%","5.3%","6.2%","4.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","753,381","32,906","464,484","7,316","9,197","48,209","85,520","111,034","82,341","31,434","42,472","46,961","44,884","56,522","","37,290","25,581","30,726","36,221","43,809","60,013"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","753,381","(X)","464,484","1.6%","2.0%","10.4%","18.4%","23.9%","17.7%","6.8%","9.1%","10.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","384,831","37,661","256,055","3,822","4,280","21,918","40,062","61,534","47,074","19,351","25,223","32,791","48,522","62,033","","41,846","30,582","35,685","42,558","50,824","66,514"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","384,831","(X)","256,055","1.5%","1.7%","8.6%","15.6%","24.0%","18.4%","7.6%","9.9%","12.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","368,550","29,574","208,429","3,494","4,917","26,291","45,458","49,500","35,267","12,083","17,249","14,170","40,421","49,752","","32,620","17,364","23,924","31,556","39,346","55,061"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","368,550","(X)","208,429","1.7%","2.4%","12.6%","21.8%","23.7%","16.9%","5.8%","8.3%","6.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,404,271","43,052","2,301,697","30,086","45,895","179,750","272,479","390,819","360,389","170,131","312,443","539,705","59,826","77,139","","50,791","27,088","35,780","42,074","63,399","86,118"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,404,271","(X)","2,301,697","1.3%","2.0%","7.8%","11.8%","17.0%","15.7%","7.4%","13.6%","23.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,720,790","50,418","1,251,280","14,500","20,750","85,321","130,356","195,812","199,625","90,008","169,217","345,691","62,167","85,536","","56,891","32,224","41,992","50,478","75,723","102,083"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,720,790","(X)","1,251,280","1.2%","1.7%","6.8%","10.4%","15.6%","16.0%","7.2%","13.5%","27.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,683,481","37,449","1,050,417","15,586","25,145","94,429","142,123","195,007","160,764","80,123","143,226","194,014","53,421","67,137","","43,874","20,537","30,034","36,646","54,227","74,180"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,683,481","(X)","1,050,417","1.5%","2.4%","9.0%","13.5%","18.6%","15.3%","7.6%","13.6%","18.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,008,007","42,257","2,467,694","23,326","33,144","151,820","268,038","416,400","398,170","214,423","364,422","597,951","61,910","83,898","","51,070","26,686","36,248","41,221","62,154","81,469"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,008,007","(X)","2,467,694","0.9%","1.3%","6.2%","10.9%","16.9%","16.1%","8.7%","14.8%","24.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,034,159","50,867","1,386,500","11,696","16,572","73,439","126,842","208,151","216,304","120,434","203,425","409,637","67,147","94,712","","60,441","31,349","44,064","50,439","74,818","101,067"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,034,159","(X)","1,386,500","0.8%","1.2%","5.3%","9.1%","15.0%","15.6%","8.7%","14.7%","29.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,973,848","36,256","1,081,194","11,630","16,572","78,381","141,196","208,249","181,866","93,989","160,997","188,314","55,942","70,030","","42,305","22,790","28,154","34,933","52,156","70,561"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,973,848","(X)","1,081,194","1.1%","1.5%","7.2%","13.1%","19.3%","16.8%","8.7%","14.9%","17.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,231,249","32,206","3,238,900","50,571","90,068","371,639","513,576","648,220","520,577","231,780","369,606","442,863","47,918","62,736","","39,208","22,405","30,274","35,414","52,352","71,057"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,231,249","(X)","3,238,900","1.6%","2.8%","11.5%","15.9%","20.0%","16.1%","7.2%","11.4%","13.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,742,660","40,143","1,868,939","27,165","43,972","169,386","248,896","346,491","310,766","138,632","244,498","339,133","52,332","71,076","","46,890","27,124","35,643","44,171","67,074","90,097"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,742,660","(X)","1,868,939","1.5%","2.4%","9.1%","13.3%","18.5%","16.6%","7.4%","13.1%","18.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,488,589","26,866","1,369,961","23,406","46,096","202,253","264,680","301,729","209,811","93,148","125,108","103,730","41,205","51,358","","31,734","17,061","23,622","29,370","42,628","60,108"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,488,589","(X)","1,369,961","1.7%","3.4%","14.8%","19.3%","22.0%","15.3%","6.8%","9.1%","7.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,248,594","39,068","2,068,427","26,242","37,030","155,560","285,763","448,185","359,723","173,099","251,580","331,245","51,793","69,045","","45,120","27,244","33,173","40,837","57,806","73,062"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,248,594","(X)","2,068,427","1.3%","1.8%","7.5%","13.8%","21.7%","17.4%","8.4%","12.2%","16.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,686,857","45,219","1,180,072","13,323","17,341","73,539","138,194","235,167","207,279","104,501","158,145","232,583","56,809","76,578","","51,411","32,182","40,203","48,779","70,299","85,371"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,686,857","(X)","1,180,072","1.1%","1.5%","6.2%","11.7%","19.9%","17.6%","8.9%","13.4%","19.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,561,737","32,496","888,355","12,919","19,689","82,021","147,569","213,018","152,444","68,598","93,435","98,662","46,861","59,038","","38,585","21,491","26,658","34,369","50,122","65,586"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,561,737","(X)","888,355","1.5%","2.2%","9.2%","16.6%","24.0%","17.2%","7.7%","10.5%","11.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,382,898","29,970","922,423","23,287","43,006","155,269","173,374","204,345","135,528","49,752","65,383","72,479","39,424","50,027","","33,417","21,680","27,238","31,695","42,497","55,339"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,382,898","(X)","922,423","2.5%","4.7%","16.8%","18.8%","22.2%","14.7%","5.4%","7.1%","7.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","707,122","35,380","505,527","10,475","15,480","66,521","86,544","108,588","82,062","33,704","45,129","57,024","44,495","57,855","","40,917","26,676","33,321","40,688","55,584","70,227"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","707,122","(X)","505,527","2.1%","3.1%","13.2%","17.1%","21.5%","16.2%","6.7%","8.9%","11.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","675,776","24,124","416,896","12,812","27,526","88,748","86,830","95,757","53,466","16,048","20,254","15,455","33,530","40,536","","28,049","14,527","20,268","26,072","36,966","50,125"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","675,776","(X)","416,896","3.1%","6.6%","21.3%","20.8%","23.0%","12.8%","3.8%","4.9%","3.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,240,639","32,225","2,129,361","33,797","62,941","272,502","389,791","470,132","330,215","132,589","190,367","247,027","43,234","58,145","","37,641","24,461","30,417","34,718","50,659","61,244"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,240,639","(X)","2,129,361","1.6%","3.0%","12.8%","18.3%","22.1%","15.5%","6.2%","8.9%","11.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,668,050","38,330","1,171,895","16,608","27,060","123,328","179,986","247,093","193,407","81,008","123,847","179,558","49,109","66,035","","44,727","28,336","36,125","41,528","61,151","79,974"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,668,050","(X)","1,171,895","1.4%","2.3%","10.5%","15.4%","21.1%","16.5%","6.9%","10.6%","15.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,572,589","27,955","957,466","17,189","35,881","149,174","209,805","223,039","136,808","51,581","66,520","67,469","38,414","48,488","","31,817","19,491","24,039","29,767","41,940","52,216"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,572,589","(X)","957,466","1.8%","3.7%","15.6%","21.9%","23.3%","14.3%","5.4%","6.9%","7.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","591,133","30,175","352,163","8,299","12,841","47,692","65,909","73,065","57,431","23,229","30,052","33,645","41,979","55,401","","34,949","20,339","27,583","31,601","42,224","56,959"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","591,133","(X)","352,163","2.4%","3.6%","13.5%","18.7%","20.7%","16.3%","6.6%","8.5%","9.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","314,008","35,068","201,711","4,075","6,570","22,803","31,585","39,250","35,298","14,856","20,852","26,422","48,037","63,653","","41,508","26,819","33,149","39,452","51,293","67,457"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","314,008","(X)","201,711","2.0%","3.3%","11.3%","15.7%","19.5%","17.5%","7.4%","10.3%","13.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","277,125","25,666","150,452","4,224","6,271","24,889","34,324","33,815","22,133","8,373","9,200","7,223","36,741","44,337","","29,360","13,824","21,828","27,096","37,042","50,977"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","277,125","(X)","150,452","2.8%","4.2%","16.5%","22.8%","22.5%","14.7%","5.6%","6.1%","4.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,103,657","34,035","724,442","13,297","18,705","79,611","123,345","169,261","124,485","51,788","68,596","75,354","45,594","58,131","","40,310","29,051","30,587","36,808","50,032","62,451"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,103,657","(X)","724,442","1.8%","2.6%","11.0%","17.0%","23.4%","17.2%","7.1%","9.5%","10.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","582,762","40,575","419,162","6,912","8,073","33,782","61,163","96,984","74,504","33,290","46,878","57,576","50,286","64,707","","46,246","33,234","37,422","45,538","57,853","75,434"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","582,762","(X)","419,162","1.6%","1.9%","8.1%","14.6%","23.1%","17.8%","7.9%","11.2%","13.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","520,895","27,493","305,280","6,385","10,632","45,829","62,182","72,277","49,981","18,498","21,718","17,778","40,156","49,102","","32,353","20,669","23,270","30,188","42,052","57,714"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","520,895","(X)","305,280","2.1%","3.5%","15.0%","20.4%","23.7%","16.4%","6.1%","7.1%","5.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,586,664","34,157","1,050,322","16,350","32,730","135,317","189,384","238,534","149,070","72,650","97,766","118,521","42,289","58,713","","37,600","28,814","32,039","38,018","48,779","67,845"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,586,664","(X)","1,050,322","1.6%","3.1%","12.9%","18.0%","22.7%","14.2%","6.9%","9.3%","11.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","845,730","37,537","596,950","7,650","14,548","68,479","101,096","127,273","87,582","42,872","64,110","83,340","46,556","64,691","","41,612","31,710","36,416","42,457","56,838","76,739"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","845,730","(X)","596,950","1.3%","2.4%","11.5%","16.9%","21.3%","14.7%","7.2%","10.7%","14.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","740,934","30,735","453,372","8,700","18,182","66,838","88,288","111,261","61,488","29,778","33,656","35,181","40,004","50,842","","33,785","22,148","28,102","33,636","42,011","61,442"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","740,934","(X)","453,372","1.9%","4.0%","14.7%","19.5%","24.5%","13.6%","6.6%","7.4%","7.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","802,682","39,063","509,366","4,622","6,505","40,837","71,337","105,496","84,477","41,973","61,279","92,840","52,391","72,025","","45,069","27,551","35,200","41,801","57,015","70,885"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","802,682","(X)","509,366","0.9%","1.3%","8.0%","14.0%","20.7%","16.6%","8.2%","12.0%","18.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","418,058","47,370","293,769","2,253","3,108","18,015","33,794","50,538","49,538","26,552","39,026","70,945","61,046","82,654","","54,151","31,625","42,336","51,721","75,536","91,763"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","418,058","(X)","293,769","0.8%","1.1%","6.1%","11.5%","17.2%","16.9%","9.0%","13.3%","24.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","384,624","31,395","215,597","2,369","3,397","22,822","37,543","54,958","34,939","15,421","22,253","21,895","45,346","57,542","","36,779","22,692","26,328","35,021","43,932","62,784"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","384,624","(X)","215,597","1.1%","1.6%","10.6%","17.4%","25.5%","16.2%","7.2%","10.3%","10.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,868,216","43,571","3,255,050","40,515","60,987","293,524","379,832","507,413","478,195","253,630","428,456","812,498","60,571","83,520","","50,913","24,963","34,431","42,079","65,658","89,332"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,868,216","(X)","3,255,050","1.2%","1.9%","9.0%","11.7%","15.6%","14.7%","7.8%","13.2%","25.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,554,234","51,561","1,867,929","22,138","32,124","138,980","196,269","263,590","255,553","138,255","251,276","569,744","66,532","94,950","","60,183","30,484","41,717","51,474","79,360","109,510"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,554,234","(X)","1,867,929","1.2%","1.7%","7.4%","10.5%","14.1%","13.7%","7.4%","13.5%","30.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,313,982","36,353","1,387,121","18,377","28,863","154,544","183,563","243,823","222,642","115,375","177,180","242,754","52,383","68,127","","41,869","18,126","27,460","35,177","55,702","73,106"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,313,982","(X)","1,387,121","1.3%","2.1%","11.1%","13.2%","17.6%","16.1%","8.3%","12.8%","17.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","979,972","28,883","634,077","17,846","36,093","99,565","113,024","124,510","88,739","33,730","55,930","64,640","40,113","53,905","","32,779","20,626","26,953","30,800","45,861","61,635"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","979,972","(X)","634,077","2.8%","5.7%","15.7%","17.8%","19.6%","14.0%","5.3%","8.8%","10.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","516,333","33,035","359,279","7,124","14,966","49,238","61,536","71,105","50,230","21,280","36,925","46,875","42,673","60,617","","37,776","24,003","31,456","37,080","53,694","79,290"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","516,333","(X)","359,279","2.0%","4.2%","13.7%","17.1%","19.8%","14.0%","5.9%","10.3%","13.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","463,639","23,928","274,798","10,722","21,127","50,327","51,488","53,405","38,509","12,450","19,005","17,765","35,683","45,130","","27,988","12,750","21,270","24,981","40,442","54,761"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","463,639","(X)","274,798","3.9%","7.7%","18.3%","18.7%","19.4%","14.0%","4.5%","6.9%","6.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New York","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,392,043","40,222","6,800,397","98,100","142,382","634,414","887,327","1,213,855","1,080,671","493,716","876,204","1,373,728","54,229","77,058","","45,764","23,749","32,286","40,458","60,985","77,469"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,392,043","(X)","6,800,397","1.4%","2.1%","9.3%","13.0%","17.8%","15.9%","7.3%","12.9%","20.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,341,254","45,254","3,767,097","50,053","71,458","324,652","458,148","610,086","595,637","272,278","480,384","904,401","58,064","85,741","","51,253","27,350","38,605","47,960","70,370","92,345"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,341,254","(X)","3,767,097","1.3%","1.9%","8.6%","12.2%","16.2%","15.8%","7.2%","12.8%","24.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,050,789","35,133","3,033,300","48,047","70,924","309,762","429,179","603,769","485,034","221,438","395,820","469,327","50,921","66,273","","40,527","18,691","26,412","34,177","52,888","70,156"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
