"Label (Grouping)","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings"
"        Estimate","(X)","979,678","2.5%","3.0%","11.3%","16.3%","21.1%","16.4%","7.0%","10.2%","12.1%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","42,341","523,400","11,671","10,084","44,198","71,279","100,789","86,999","43,588","66,466","88,326","52,194","70,493"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","523,400","2.2%","1.9%","8.4%","13.6%","19.3%","16.6%","8.3%","12.7%","16.9%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","30,438","456,278","12,481","19,628","66,542","88,326","106,030","73,808","25,149","33,887","30,427","40,518","48,220"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","456,278","2.7%","4.3%","14.6%","19.4%","23.2%","16.2%","5.5%","7.4%","6.7%","(X)","(X)"
"Missouri","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","41,609","2,250,065","29,848","36,395","129,582","280,570","500,761","404,001","195,629","289,423","383,856","53,993","71,663"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","2,250,065","1.3%","1.6%","5.8%","12.5%","22.3%","18.0%","8.7%","12.9%","17.1%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","49,511","1,242,162","16,372","17,844","60,818","122,731","239,516","225,023","117,764","177,865","264,229","60,680","80,469"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","1,242,162","1.3%","1.4%","4.9%","9.9%","19.3%","18.1%","9.5%","14.3%","21.3%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","36,307","1,007,903","13,476","18,551","68,764","157,839","261,245","178,978","77,865","111,558","119,627","48,533","60,810"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","1,007,903","1.3%","1.8%","6.8%","15.7%","25.9%","17.8%","7.7%","11.1%","11.9%","(X)","(X)"
"Montana","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","40,418","387,382","6,578","10,372","27,052","46,031","79,313","69,505","31,963","51,882","64,686","53,739","70,579"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","387,382","1.7%","2.7%","7.0%","11.9%","20.5%","17.9%","8.3%","13.4%","16.7%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","47,376","224,689","4,246","4,737","13,774","21,299","37,760","40,155","19,699","34,278","48,741","61,178","79,146"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","224,689","1.9%","2.1%","6.1%","9.5%","16.8%","17.9%","8.8%","15.3%","21.7%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","33,208","162,693","2,332","5,635","13,278","24,732","41,553","29,350","12,264","17,604","15,945","46,776","58,746"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","162,693","1.4%","3.5%","8.2%","15.2%","25.5%","18.0%","7.5%","10.8%","9.8%","(X)","(X)"
"Nebraska","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","42,456","770,569","14,259","13,981","41,422","83,530","166,042","152,412","67,143","98,460","133,320","55,554","73,334"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","770,569","1.9%","1.8%","5.4%","10.8%","21.5%","19.8%","8.7%","12.8%","17.3%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","50,327","442,429","10,063","8,498","19,937","37,319","81,915","87,627","38,958","62,327","95,785","60,879","81,369"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","442,429","2.3%","1.9%","4.5%","8.4%","18.5%","19.8%","8.8%","14.1%","21.6%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","36,962","328,140","4,196","5,483","21,485","46,211","84,127","64,785","28,185","36,133","37,535","50,325","62,499"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","328,140","1.3%","1.7%","6.5%","14.1%","25.6%","19.7%","8.6%","11.0%","11.4%","(X)","(X)"
"Nevada","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","41,980","1,156,438","18,980","22,256","75,161","147,616","256,661","194,681","94,586","146,392","200,105","52,274","71,943"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","1,156,438","1.6%","1.9%","6.5%","12.8%","22.2%","16.8%","8.2%","12.7%","17.3%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","47,137","650,897","9,774","12,293","35,147","72,485","132,152","113,986","57,318","82,609","135,133","57,351","79,690"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","650,897","1.5%","1.9%","5.4%","11.1%","20.3%","17.5%","8.8%","12.7%","20.8%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","37,503","505,541","9,206","9,963","40,014","75,131","124,509","80,695","37,268","63,783","64,972","48,602","61,969"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","505,541","1.8%","2.0%","7.9%","14.9%","24.6%","16.0%","7.4%","12.6%","12.9%","(X)","(X)"
"New Hampshire","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","51,450","553,625","6,253","4,711","16,617","44,278","91,334","104,728","46,190","85,530","153,984","66,482","88,722"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","553,625","1.1%","0.9%","3.0%","8.0%","16.5%","18.9%","8.3%","15.4%","27.8%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","60,918","316,142","3,221","2,053","5,889","20,906","42,783","54,707","27,020","51,719","107,844","75,512","100,298"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","316,142","1.0%","0.6%","1.9%","6.6%","13.5%","17.3%","8.5%","16.4%","34.1%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","42,193","237,483","3,032","2,658","10,728","23,372","48,551","50,021","19,170","33,811","46,140","57,240","73,311"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","237,483","1.3%","1.1%","4.5%","9.8%","20.4%","21.1%","8.1%","14.2%","19.4%","(X)","(X)"
"New Jersey","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","52,340","3,493,054","40,207","46,646","150,371","284,892","519,434","502,192","269,959","510,647","1,168,706","72,051","99,736"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","3,493,054","1.2%","1.3%","4.3%","8.2%","14.9%","14.4%","7.7%","14.6%","33.5%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","61,438","1,981,971","19,113","21,024","67,926","139,026","277,137","266,910","145,115","280,319","765,401","78,841","111,654"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","1,981,971","1.0%","1.1%","3.4%","7.0%","14.0%","13.5%","7.3%","14.1%","38.6%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","45,723","1,511,083","21,094","25,622","82,445","145,866","242,297","235,282","124,844","230,328","403,305","65,181","84,105"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","1,511,083","1.4%","1.7%","5.5%","9.7%","16.0%","15.6%","8.3%","15.2%","26.7%","(X)","(X)"
"New Mexico","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","36,701","689,289","12,849","17,022","68,725","106,051","130,954","106,455","50,330","86,334","110,569","50,757","66,356"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","689,289","1.9%","2.5%","10.0%","15.4%","19.0%","15.4%","7.3%","12.5%","16.0%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","41,633","389,851","5,953","7,734","30,202","59,421","68,381","58,877","28,769","53,898","76,616","54,786","73,399"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","389,851","1.5%","2.0%","7.7%","15.2%","17.5%","15.1%","7.4%","13.8%","19.7%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","31,803","299,438","6,896","9,288","38,523","46,630","62,573","47,578","21,561","32,436","33,953","45,826","57,187"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","299,438","2.3%","3.1%","12.9%","15.6%","20.9%","15.9%","7.2%","10.8%","11.3%","(X)","(X)"
"New York","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","50,072","6,910,943","89,820","95,137","310,594","622,861","1,151,392","1,071,128","560,819","1,025,493","1,983,699","66,615","95,507"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","6,910,943","1.3%","1.4%","4.5%","9.0%","16.7%","15.5%","8.1%","14.8%","28.7%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","54,578","3,781,676","48,337","46,967","153,881","307,160","579,053","577,558","299,524","556,088","1,213,108","70,976","104,945"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","3,781,676","1.3%","1.2%","4.1%","8.1%","15.3%","15.3%","7.9%","14.7%","32.1%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","42,824","3,129,267","41,483","48,170","156,713","315,701","572,339","493,570","261,295","469,405","770,591","62,019","84,101"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","3,129,267","1.3%","1.5%","5.0%","10.1%","18.3%","15.8%","8.4%","15.0%","24.6%","(X)","(X)"
"North Carolina","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","41,975","3,965,320","58,498","70,746","276,649","519,109","823,267","666,002","292,849","485,244","772,956","53,357","74,542"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","3,965,320","1.5%","1.8%","7.0%","13.1%","20.8%","16.8%","7.4%","12.2%","19.5%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","47,679","2,219,234","29,908","34,264","138,316","265,701","416,625","359,199","169,434","291,885","513,902","57,845","82,459"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","2,219,234","1.3%","1.5%","6.2%","12.0%","18.8%","16.2%","7.6%","13.2%","23.2%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","37,287","1,746,086","28,590","36,482","138,333","253,408","406,642","306,803","123,415","193,359","259,054","50,254","64,479"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","1,746,086","1.6%","2.1%","7.9%","14.5%","23.3%","17.6%","7.1%","11.1%","14.8%","(X)","(X)"
"North Dakota","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","46,063","306,212","4,298","4,428","12,772","33,315","59,922","63,001","27,475","42,155","58,846","57,999","73,503"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","306,212","1.4%","1.4%","4.2%","10.9%","19.6%","20.6%","9.0%","13.8%","19.2%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","54,224","178,540","2,771","2,254","5,687","12,825","28,933","33,977","16,755","29,114","46,224","66,287","84,016"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","178,540","1.6%","1.3%","3.2%","7.2%","16.2%","19.0%","9.4%","16.3%","25.9%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","36,426","127,672","1,527","2,174","7,085","20,490","30,989","29,024","10,720","13,041","12,622","50,463","58,802"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","127,672","1.2%","1.7%","5.5%","16.0%","24.3%","22.7%","8.4%","10.2%","9.9%","(X)","(X)"
"Ohio","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","42,343","4,190,937","61,644","60,637","240,675","475,756","856,691","765,269","371,474","582,401","776,390","56,552","74,099"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","4,190,937","1.5%","1.4%","5.7%","11.4%","20.4%","18.3%","8.9%","13.9%","18.5%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","50,416","2,344,549","29,758","28,697","104,582","215,000","434,262","438,622","216,695","347,935","528,998","61,570","82,201"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","2,344,549","1.3%","1.2%","4.5%","9.2%","18.5%","18.7%","9.2%","14.8%","22.6%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","36,579","1,846,388","31,886","31,940","136,093","260,756","422,429","326,647","154,779","234,466","247,392","50,981","63,810"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","1,846,388","1.7%","1.7%","7.4%","14.1%","22.9%","17.7%","8.4%","12.7%","13.4%","(X)","(X)"
"Oklahoma","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","39,057","1,396,316","27,601","30,512","124,503","202,078","314,369","236,777","102,252","157,807","200,417","49,931","66,073"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","1,396,316","2.0%","2.2%","8.9%","14.5%","22.5%","17.0%","7.3%","11.3%","14.4%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","44,917","793,162","14,049","11,403","55,470","98,608","159,459","137,792","65,066","102,227","149,088","55,167","74,933"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","793,162","1.8%","1.4%","7.0%","12.4%","20.1%","17.4%","8.2%","12.9%","18.8%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","32,544","603,154","13,552","19,109","69,033","103,470","154,910","98,985","37,186","55,580","51,329","43,098","54,423"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","603,154","2.2%","3.2%","11.4%","17.2%","25.7%","16.4%","6.2%","9.2%","8.5%","(X)","(X)"
"Oregon","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","45,295","1,454,205","18,980","24,167","68,952","130,366","276,907","240,782","129,822","216,138","348,091","61,886","82,926"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","1,454,205","1.3%","1.7%","4.7%","9.0%","19.0%","16.6%","8.9%","14.9%","23.9%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","51,227","833,581","11,725","15,549","32,336","65,225","144,755","129,621","75,261","126,788","232,321","66,891","90,944"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","833,581","1.4%","1.9%","3.9%","7.8%","17.4%","15.5%","9.0%","15.2%","27.9%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","40,114","620,624","7,255","8,618","36,616","65,141","132,152","111,161","54,561","89,350","115,770","56,804","72,157"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","620,624","1.2%","1.4%","5.9%","10.5%","21.3%","17.9%","8.8%","14.4%","18.7%","(X)","(X)"
"Pennsylvania","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","45,073","4,677,391","67,451","73,728","237,818","473,208","916,949","829,176","399,016","673,475","1,006,570","60,184","79,703"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","4,677,391","1.4%","1.6%","5.1%","10.1%","19.6%","17.7%","8.5%","14.4%","21.5%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","51,926","2,642,589","39,496","35,256","107,214","209,696","458,243","474,790","233,134","396,696","688,064","64,775","88,876"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","2,642,589","1.5%","1.3%","4.1%","7.9%","17.3%","18.0%","8.8%","15.0%","26.0%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","37,644","2,034,802","27,955","38,472","130,604","263,512","458,706","354,386","165,882","276,779","318,506","52,407","67,789"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","2,034,802","1.4%","1.9%","6.4%","13.0%","22.5%","17.4%","8.2%","13.6%","15.7%","(X)","(X)"
"Rhode Island","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","49,953","399,516","3,952","4,678","13,423","34,347","67,360","73,238","37,411","65,845","99,262","65,551","84,325"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","399,516","1.0%","1.2%","3.4%","8.6%","16.9%","18.3%","9.4%","16.5%","24.8%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","52,645","224,007","2,537","2,423","6,338","16,834","34,065","42,103","19,593","37,615","62,499","70,269","92,016"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","224,007","1.1%","1.1%","2.8%","7.5%","15.2%","18.8%","8.7%","16.8%","27.9%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","42,063","175,509","1,415","2,255","7,085","17,513","33,295","31,135","17,818","28,230","36,763","62,573","74,509"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","175,509","0.8%","1.3%","4.0%","10.0%","19.0%","17.7%","10.2%","16.1%","20.9%","(X)","(X)"
"South Carolina","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","40,812","1,885,853","40,647","38,738","140,648","241,884","409,165","329,304","152,599","220,324","312,544","51,680","70,259"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","1,885,853","2.2%","2.1%","7.5%","12.8%","21.7%","17.5%","8.1%","11.7%","16.6%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","46,972","1,044,118","20,189","17,022","62,604","117,450","195,937","183,697","90,566","133,864","222,789","57,279","79,750"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","1,044,118","1.9%","1.6%","6.0%","11.2%","18.8%","17.6%","8.7%","12.8%","21.3%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","35,160","841,735","20,458","21,716","78,044","124,434","213,228","145,607","62,033","86,460","89,755","46,593","58,486"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","841,735","2.4%","2.6%","9.3%","14.8%","25.3%","17.3%","7.4%","10.3%","10.7%","(X)","(X)"
"South Dakota","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","41,959","347,411","6,244","6,495","18,677","38,232","79,235","73,891","34,395","39,670","50,572","52,704","71,047"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","347,411","1.8%","1.9%","5.4%","11.0%","22.8%","21.3%","9.9%","11.4%","14.6%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","50,062","201,566","3,378","4,130","9,972","18,141","37,697","42,938","22,906","26,041","36,363","59,884","80,071"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","201,566","1.7%","2.0%","4.9%","9.0%","18.7%","21.3%","11.4%","12.9%","18.0%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","36,569","145,845","2,866","2,365","8,705","20,091","41,538","30,953","11,489","13,629","14,209","48,222","58,574"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","145,845","2.0%","1.6%","6.0%","13.8%","28.5%","21.2%","7.9%","9.3%","9.7%","(X)","(X)"
"Tennessee","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","41,556","2,577,193","39,282","52,022","171,891","333,105","572,151","448,930","205,004","313,474","441,334","52,226","71,210"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","2,577,193","1.5%","2.0%","6.7%","12.9%","22.2%","17.4%","8.0%","12.2%","17.1%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","47,400","1,447,017","20,440","25,034","73,739","161,598","301,493","240,026","117,939","189,920","316,828","57,829","80,463"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","1,447,017","1.4%","1.7%","5.1%","11.2%","20.8%","16.6%","8.2%","13.1%","21.9%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","36,118","1,130,176","18,842","26,988","98,152","171,507","270,658","208,904","87,065","123,554","124,506","47,836","59,363"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","1,130,176","1.7%","2.4%","8.7%","15.2%","23.9%","18.5%","7.7%","10.9%","11.0%","(X)","(X)"
"Texas","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","42,329","11,388,935","218,994","268,491","947,200","1,401,186","2,067,797","1,819,676","868,552","1,396,524","2,400,515","55,498","76,775"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","11,388,935","1.9%","2.4%","8.3%","12.3%","18.2%","16.0%","7.6%","12.3%","21.1%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","50,343","6,522,425","112,368","128,550","419,276","694,365","1,122,518","1,004,414","486,833","855,472","1,698,629","61,202","86,586"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","6,522,425","1.7%","2.0%","6.4%","10.6%","17.2%","15.4%","7.5%","13.1%","26.0%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","35,964","4,866,510","106,626","139,941","527,924","706,821","945,279","815,262","381,719","541,052","701,886","50,077","63,624"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","4,866,510","2.2%","2.9%","10.8%","14.5%","19.4%","16.8%","7.8%","11.1%","14.4%","(X)","(X)"
"Utah","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","42,385","1,203,890","12,736","18,187","55,533","121,166","233,588","206,831","105,468","181,128","269,253","61,287","80,404"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","1,203,890","1.1%","1.5%","4.6%","10.1%","19.4%","17.2%","8.8%","15.0%","22.4%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","54,132","744,013","8,356","8,151","25,732","61,279","115,872","124,165","64,304","121,950","214,204","69,679","91,703"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","744,013","1.1%","1.1%","3.5%","8.2%","15.6%","16.7%","8.6%","16.4%","28.8%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","32,772","459,877","4,380","10,036","29,801","59,887","117,716","82,666","41,164","59,178","55,049","50,801","62,124"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","459,877","1.0%","2.2%","6.5%","13.0%","25.6%","18.0%","9.0%","12.9%","12.0%","(X)","(X)"
"Vermont","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","46,413","237,447","3,094","2,432","9,382","16,736","48,390","53,087","24,901","33,515","45,910","60,600","77,996"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","237,447","1.3%","1.0%","4.0%","7.0%","20.4%","22.4%","10.5%","14.1%","19.3%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","50,923","129,227","1,871","1,181","4,818","8,459","22,664","27,203","13,175","18,267","31,589","63,565","86,224"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","129,227","1.4%","0.9%","3.7%","6.5%","17.5%","21.1%","10.2%","14.1%","24.4%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","42,435","108,220","1,223","1,251","4,564","8,277","25,726","25,884","11,726","15,248","14,321","55,765","68,171"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","108,220","1.1%","1.2%","4.2%","7.6%","23.8%","23.9%","10.8%","14.1%","13.2%","(X)","(X)"
"Virginia","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","50,383","3,362,229","47,836","50,796","179,080","329,833","546,307","533,450","254,972","456,500","963,455","64,634","88,438"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","3,362,229","1.4%","1.5%","5.3%","9.8%","16.2%","15.9%","7.6%","13.6%","28.7%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","56,890","1,884,855","27,945","22,556","85,676","152,591","272,936","287,503","137,455","267,320","630,873","71,646","98,479"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","1,884,855","1.5%","1.2%","4.5%","8.1%","14.5%","15.3%","7.3%","14.2%","33.5%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","41,972","1,477,374","19,891","28,240","93,404","177,242","273,371","245,947","117,517","189,180","332,582","57,991","75,629"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","1,477,374","1.3%","1.9%","6.3%","12.0%","18.5%","16.6%","8.0%","12.8%","22.5%","(X)","(X)"
"Washington","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","52,533","2,830,042","35,649","30,961","91,303","204,389","453,048","430,912","235,033","436,576","912,171","71,874","98,034"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","2,830,042","1.3%","1.1%","3.2%","7.2%","16.0%","15.2%","8.3%","15.4%","32.2%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","61,997","1,665,436","19,091","16,661","43,792","107,144","227,020","236,780","133,059","261,125","620,764","79,279","108,126"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","1,665,436","1.1%","1.0%","2.6%","6.4%","13.6%","14.2%","8.0%","15.7%","37.3%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","44,644","1,164,606","16,558","14,300","47,511","97,245","226,028","194,132","101,974","175,451","291,407","62,811","83,603"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","1,164,606","1.4%","1.2%","4.1%","8.4%","19.4%","16.7%","8.8%","15.1%","25.0%","(X)","(X)"
"West Virginia","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","38,726","561,021","9,008","12,489","42,960","86,661","117,900","98,994","44,599","71,257","77,153","50,991","63,627"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","561,021","1.6%","2.2%","7.7%","15.4%","21.0%","17.6%","7.9%","12.7%","13.8%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","46,075","316,784","4,334","5,867","19,574","38,868","57,789","58,196","27,436","47,335","57,385","56,766","70,747"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","316,784","1.4%","1.9%","6.2%","12.3%","18.2%","18.4%","8.7%","14.9%","18.1%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","32,380","244,237","4,674","6,622","23,386","47,793","60,111","40,798","17,163","23,922","19,768","44,388","54,392"
"    Percent Female","","","","","","","","","","","","",""
