"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Median earnings (dollars) for full-time, year-round workers with earnings","Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","745,691","(X)","439,497","2.2%","4.7%","16.8%","20.0%","23.9%","15.5%","5.0%","5.9%","6.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,212,983","30,663","1,427,706","29,004","50,186","211,589","260,146","316,986","218,283","90,223","121,440","129,849","41,313","54,018","","35,714","21,842","30,002","32,483","46,881","56,704"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,212,983","(X)","1,427,706","2.0%","3.5%","14.8%","18.2%","22.2%","15.3%","6.3%","8.5%","9.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,152,763","36,142","806,205","16,940","19,931","95,589","128,407","174,543","131,453","57,889","84,167","97,286","46,289","60,856","","41,422","26,882","35,189","42,850","57,029","68,540"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,152,763","(X)","806,205","2.1%","2.5%","11.9%","15.9%","21.6%","16.3%","7.2%","10.4%","12.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,060,220","25,455","621,501","12,064","30,255","116,000","131,739","142,443","86,830","32,334","37,273","32,563","36,487","45,148","","30,092","16,239","22,642","26,985","40,623","52,292"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,060,220","(X)","621,501","1.9%","4.9%","18.7%","21.2%","22.9%","14.0%","5.2%","6.0%","5.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,249,456","30,544","1,496,192","35,198","79,962","244,918","241,175","288,841","218,468","87,019","136,373","164,238","41,597","54,748","","35,479","21,789","28,026","32,157","48,795","58,960"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,249,456","(X)","1,496,192","2.4%","5.3%","16.4%","16.1%","19.3%","14.6%","5.8%","9.1%","11.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,155,762","38,263","818,513","14,895","30,854","107,794","106,964","140,942","131,324","56,449","99,053","130,238","50,445","64,762","","45,232","27,599","37,723","43,564","62,405","76,579"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,155,762","(X)","818,513","1.8%","3.8%","13.2%","13.1%","17.2%","16.0%","6.9%","12.1%","15.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,093,694","24,454","677,679","20,303","49,108","137,124","134,211","147,899","87,144","30,570","37,320","34,000","34,708","42,652","","28,107","15,318","21,420","25,973","41,401","51,282"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,093,694","(X)","677,679","3.0%","7.2%","20.2%","19.8%","21.8%","12.9%","4.5%","5.5%","5.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","751,545","31,552","454,332","6,850","13,130","50,635","80,551","104,171","83,516","33,602","40,793","41,084","44,508","55,671","","36,494","23,092","28,193","34,563","44,118","58,537"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","751,545","(X)","454,332","1.5%","2.9%","11.1%","17.7%","22.9%","18.4%","7.4%","9.0%","9.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","383,824","36,359","249,980","3,606","6,765","22,292","38,013","55,533","49,490","21,984","24,797","27,500","49,476","60,550","","41,520","26,475","35,232","40,763","52,701","65,028"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","383,824","(X)","249,980","1.4%","2.7%","8.9%","15.2%","22.2%","19.8%","8.8%","9.9%","11.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","367,721","27,724","204,352","3,244","6,365","28,343","42,538","48,638","34,026","11,618","15,996","13,584","40,618","49,703","","31,764","17,832","22,895","30,165","39,820","55,247"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","367,721","(X)","204,352","1.6%","3.1%","13.9%","20.8%","23.8%","16.7%","5.7%","7.8%","6.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,400,176","42,149","2,303,790","32,495","46,467","198,081","276,449","394,310","363,848","178,403","312,390","501,347","57,107","74,584","","50,160","26,309","35,409","42,707","61,640","82,432"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,400,176","(X)","2,303,790","1.4%","2.0%","8.6%","12.0%","17.1%","15.8%","7.7%","13.6%","21.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,727,575","49,045","1,258,376","13,147","21,407","101,489","136,928","198,765","197,294","95,078","167,791","326,477","61,263","81,981","","55,141","30,735","41,074","51,294","73,235","101,546"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,727,575","(X)","1,258,376","1.0%","1.7%","8.1%","10.9%","15.8%","15.7%","7.6%","13.3%","25.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,672,601","37,218","1,045,414","19,348","25,060","96,592","139,521","195,545","166,554","83,325","144,599","174,870","52,381","65,680","","43,032","20,740","28,385","37,002","52,303","71,771"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,672,601","(X)","1,045,414","1.9%","2.4%","9.2%","13.3%","18.7%","15.9%","8.0%","13.8%","16.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,967,686","41,700","2,458,733","29,503","35,370","158,101","279,124","422,100","407,957","199,889","342,339","584,350","60,923","81,305","","50,590","25,757","36,055","41,187","62,167","79,988"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,967,686","(X)","2,458,733","1.2%","1.4%","6.4%","11.4%","17.2%","16.6%","8.1%","13.9%","23.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,020,221","50,224","1,389,376","14,560","15,909","80,693","138,580","213,015","218,039","108,765","192,520","407,295","65,939","91,147","","58,573","31,247","43,773","50,258","76,218","100,528"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,020,221","(X)","1,389,376","1.0%","1.1%","5.8%","10.0%","15.3%","15.7%","7.8%","13.9%","29.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,947,465","35,704","1,069,357","14,943","19,461","77,408","140,544","209,085","189,918","91,124","149,819","177,055","54,646","68,519","","42,127","20,407","27,458","35,548","51,940","68,111"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,947,465","(X)","1,069,357","1.4%","1.8%","7.2%","13.1%","19.6%","17.8%","8.5%","14.0%","16.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,184,760","31,713","3,198,550","53,231","96,621","374,446","523,669","650,352","519,249","224,195","342,861","413,926","46,709","61,172","","38,116","21,773","30,065","34,761","51,527","70,518"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,184,760","(X)","3,198,550","1.7%","3.0%","11.7%","16.4%","20.3%","16.2%","7.0%","10.7%","12.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,707,213","39,822","1,847,677","27,038","46,727","171,077","249,924","358,934","309,027","141,819","226,108","317,023","51,749","69,179","","46,151","25,987","36,017","43,573","64,861","85,769"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,707,213","(X)","1,847,677","1.5%","2.5%","9.3%","13.5%","19.4%","16.7%","7.7%","12.2%","17.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,477,547","26,156","1,350,873","26,193","49,894","203,369","273,745","291,418","210,222","82,376","116,753","96,903","40,453","50,221","","31,052","16,633","22,321","28,274","41,709","59,469"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,477,547","(X)","1,350,873","1.9%","3.7%","15.1%","20.3%","21.6%","15.6%","6.1%","8.6%","7.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,239,570","37,397","2,030,715","21,029","40,840","170,940","288,568","439,865","353,610","160,957","244,501","310,405","51,221","67,778","","43,424","25,012","31,965","40,043","56,347","72,143"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,239,570","(X)","2,030,715","1.0%","2.0%","8.4%","14.2%","21.7%","17.4%","7.9%","12.0%","15.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,688,917","43,323","1,164,571","11,835","21,135","77,632","142,414","230,518","209,147","97,992","152,064","221,834","55,812","75,650","","50,760","29,456","38,297","48,016","67,075","82,711"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,688,917","(X)","1,164,571","1.0%","1.8%","6.7%","12.2%","19.8%","18.0%","8.4%","13.1%","19.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,550,653","31,706","866,144","9,194","19,705","93,308","146,154","209,347","144,463","62,965","92,437","88,571","45,798","57,193","","37,174","20,027","25,719","32,418","47,825","64,461"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,550,653","(X)","866,144","1.1%","2.3%","10.8%","16.9%","24.2%","16.7%","7.3%","10.7%","10.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,370,659","29,818","914,634","17,645","42,185","155,603","187,133","207,011","130,394","50,928","63,247","60,488","37,655","48,207","","32,374","22,273","26,845","31,594","41,706","54,539"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,370,659","(X)","914,634","1.9%","4.6%","17.0%","20.5%","22.6%","14.3%","5.6%","6.9%","6.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","699,078","34,616","495,030","6,336","18,309","62,883","90,165","113,828","80,252","32,253","44,863","46,141","42,287","55,150","","39,203","27,469","31,962","40,111","51,862","70,697"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","699,078","(X)","495,030","1.3%","3.7%","12.7%","18.2%","23.0%","16.2%","6.5%","9.1%","9.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","671,581","24,441","419,604","11,309","23,876","92,720","96,968","93,183","50,142","18,675","18,384","14,347","32,441","40,017","","27,967","15,986","21,168","26,803","36,312","47,960"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","671,581","(X)","419,604","2.7%","5.7%","22.1%","23.1%","22.2%","11.9%","4.5%","4.4%","3.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,236,557","31,514","2,114,886","38,807","62,339","292,456","386,689","468,181","332,773","131,848","182,944","218,849","42,131","56,191","","36,565","21,779","30,097","33,653","48,238","60,056"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,236,557","(X)","2,114,886","1.8%","2.9%","13.8%","18.3%","22.1%","15.7%","6.2%","8.7%","10.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,672,902","36,751","1,171,200","20,572","27,425","128,527","186,651","246,627","199,617","79,788","121,309","160,684","47,436","63,371","","42,331","26,682","35,167","41,104","60,405","71,937"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,672,902","(X)","1,171,200","1.8%","2.3%","11.0%","15.9%","21.1%","17.0%","6.8%","10.4%","13.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,563,655","27,009","943,686","18,235","34,914","163,929","200,038","221,554","133,156","52,060","61,635","58,165","37,339","47,280","","31,310","16,414","23,665","29,517","40,614","51,525"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,563,655","(X)","943,686","1.9%","3.7%","17.4%","21.2%","23.5%","14.1%","5.5%","6.5%","6.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","585,354","28,925","342,212","8,569","13,023","50,000","65,199","72,581","52,063","18,514","31,396","30,867","40,773","52,707","","33,210","21,588","28,378","30,736","40,244","57,421"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","585,354","(X)","342,212","2.5%","3.8%","14.6%","19.1%","21.2%","15.2%","5.4%","9.2%","9.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","307,944","33,221","195,971","4,691","5,861","25,463","31,322","39,055","30,567","12,366","22,738","23,908","45,616","59,107","","40,003","26,804","33,434","37,352","47,985","67,034"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","307,944","(X)","195,971","2.4%","3.0%","13.0%","16.0%","19.9%","15.6%","6.3%","11.6%","12.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","277,410","24,322","146,241","3,878","7,162","24,537","33,877","33,526","21,496","6,148","8,658","6,959","35,964","44,131","","28,613","12,666","22,823","25,474","35,602","50,913"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","277,410","(X)","146,241","2.7%","4.9%","16.8%","23.2%","22.9%","14.7%","4.2%","5.9%","4.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,108,271","33,314","735,683","11,368","20,370","83,384","131,784","171,782","129,833","50,244","67,228","69,690","44,803","56,455","","39,578","25,515","31,296","36,349","50,138","61,324"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,108,271","(X)","735,683","1.5%","2.8%","11.3%","17.9%","23.4%","17.6%","6.8%","9.1%","9.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","586,890","40,448","425,617","6,624","8,452","35,724","64,786","93,993","83,231","33,615","46,721","52,471","50,293","63,199","","46,279","30,165","37,366","44,973","60,441","71,750"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","586,890","(X)","425,617","1.6%","2.0%","8.4%","15.2%","22.1%","19.6%","7.9%","11.0%","12.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","521,381","27,439","310,066","4,744","11,918","47,660","66,998","77,789","46,602","16,629","20,507","17,219","38,726","47,197","","32,046","18,905","24,409","28,748","41,701","55,598"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","521,381","(X)","310,066","1.5%","3.8%","15.4%","21.6%","25.1%","15.0%","5.4%","6.6%","5.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,563,204","32,322","1,039,410","16,115","33,578","145,817","195,364","226,553","157,856","59,830","96,599","107,698","41,567","55,928","","36,423","26,840","31,208","36,581","48,974","65,557"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,563,204","(X)","1,039,410","1.6%","3.2%","14.0%","18.8%","21.8%","15.2%","5.8%","9.3%","10.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","841,578","36,726","599,068","8,346","17,034","73,159","101,433","125,716","96,172","35,211","63,783","78,214","45,439","61,703","","41,051","31,102","35,228","41,507","54,958","78,250"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","841,578","(X)","599,068","1.4%","2.8%","12.2%","16.9%","21.0%","16.1%","5.9%","10.6%","13.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","721,626","29,422","440,342","7,769","16,544","72,658","93,931","100,837","61,684","24,619","32,816","29,484","37,880","48,071","","31,817","21,517","26,942","31,692","41,505","58,485"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","721,626","(X)","440,342","1.8%","3.8%","16.5%","21.3%","22.9%","14.0%","5.6%","7.5%","6.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","802,975","37,858","501,097","5,951","6,917","44,043","68,863","100,617","86,456","41,344","59,778","87,128","52,088","68,978","","45,390","27,050","35,018","41,023","56,249","70,295"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","802,975","(X)","501,097","1.2%","1.4%","8.8%","13.7%","20.1%","17.3%","8.3%","11.9%","17.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","418,054","46,197","288,886","3,570","3,161","21,432","30,704","52,338","52,047","23,830","36,200","65,604","57,966","77,229","","51,897","32,082","41,659","50,529","73,955","90,035"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","418,054","(X)","288,886","1.2%","1.1%","7.4%","10.6%","18.1%","18.0%","8.2%","12.5%","22.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","384,921","31,360","212,211","2,381","3,756","22,611","38,159","48,279","34,409","17,514","23,578","21,524","46,044","57,746","","36,961","20,978","26,826","34,237","44,796","60,167"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","384,921","(X)","212,211","1.1%","1.8%","10.7%","18.0%","22.8%","16.2%","8.3%","11.1%","10.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,889,518","41,556","3,219,939","42,529","83,515","310,749","371,348","503,903","486,919","231,441","425,995","763,540","58,150","80,502","","49,671","22,930","34,137","41,178","63,545","86,548"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,889,518","(X)","3,219,939","1.3%","2.6%","9.7%","11.5%","15.6%","15.1%","7.2%","13.2%","23.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,560,625","50,432","1,843,337","22,786","37,062","150,386","185,945","268,572","260,319","135,287","243,750","539,230","64,497","91,352","","56,782","27,122","41,384","50,158","77,071","105,296"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,560,625","(X)","1,843,337","1.2%","2.0%","8.2%","10.1%","14.6%","14.1%","7.3%","13.2%","29.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,328,893","34,602","1,376,602","19,743","46,453","160,363","185,403","235,331","226,600","96,154","182,245","224,310","51,538","65,973","","40,558","18,013","26,542","34,202","53,984","70,813"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,328,893","(X)","1,376,602","1.4%","3.4%","11.6%","13.5%","17.1%","16.5%","7.0%","13.2%","16.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","975,976","28,062","618,020","15,946","30,596","106,008","112,959","118,700","83,020","36,489","56,598","57,704","40,160","51,712","","32,343","20,428","26,822","31,378","42,379","60,401"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","975,976","(X)","618,020","2.6%","5.0%","17.2%","18.3%","19.2%","13.4%","5.9%","9.2%","9.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","510,215","31,663","347,536","8,184","12,379","54,034","58,412","64,648","46,473","22,720","37,371","43,315","42,690","57,518","","38,228","25,246","31,234","38,831","47,284","75,320"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","510,215","(X)","347,536","2.4%","3.6%","15.5%","16.8%","18.6%","13.4%","6.5%","10.8%","12.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","465,761","24,171","270,484","7,762","18,217","51,974","54,547","54,052","36,547","13,769","19,227","14,389","35,523","44,253","","29,221","15,023","21,654","26,593","40,207","51,978"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","465,761","(X)","270,484","2.9%","6.7%","19.2%","20.2%","20.0%","13.5%","5.1%","7.1%","5.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New York","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,529,212","37,329","6,840,326","100,586","171,998","744,090","934,382","1,225,018","1,069,139","478,176","818,426","1,298,511","51,753","74,240","","42,525","22,323","31,190","38,580","60,027","75,012"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,529,212","(X)","6,840,326","1.5%","2.5%","10.9%","13.7%","17.9%","15.6%","7.0%","12.0%","19.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,419,511","42,037","3,802,754","55,533","81,185","377,236","482,190","633,902","578,461","270,965","456,060","867,222","55,636","82,900","","49,785","26,364","36,658","45,448","69,070","91,175"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,419,511","(X)","3,802,754","1.5%","2.1%","9.9%","12.7%","16.7%","15.2%","7.1%","12.0%","22.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,109,701","32,231","3,037,572","45,053","90,813","366,854","452,192","591,116","490,678","207,211","362,366","431,289","48,901","63,400","","38,025","18,368","25,219","32,391","51,371","65,882"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,109,701","(X)","3,037,572","1.5%","3.0%","12.1%","14.9%","19.5%","16.2%","6.8%","11.9%","14.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,331,426","31,347","3,510,926","62,269","124,937","524,587","617,823","750,443","519,432","200,211","306,026","405,198","41,974","57,527","","36,420","21,705","27,936","32,357","50,105","61,504"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,331,426","(X)","3,510,926","1.8%","3.6%","14.9%","17.6%","21.4%","14.8%","5.7%","8.7%","11.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,756,807","36,026","1,976,615","30,696","58,639","263,668","317,576","391,761","299,282","119,363","197,492","298,138","46,289","64,574","","41,598","25,135","31,994","40,703","61,871","81,774"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,756,807","(X)","1,976,615","1.6%","3.0%","13.3%","16.1%","19.8%","15.1%","6.0%","10.0%","15.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
