"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Full-time, year-round workers with earnings!!$10,000 to $14,999","Full-time, year-round workers with earnings!!$15,000 to $24,999","Full-time, year-round workers with earnings!!$25,000 to $34,999","Full-time, year-round workers with earnings!!$35,000 to $49,999","Full-time, year-round workers with earnings!!$50,000 to $64,999","Full-time, year-round workers with earnings!!$65,000 to $74,999","Full-time, year-round workers with earnings!!$75,000 to $99,999","Full-time, year-round workers with earnings!!$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT ALLOCATED","PERCENT ALLOCATED!!Earnings in the past 12 months"
"        Estimate","382,217","30,883","210,621","1.1%","1.8%","12.0%","18.0%","24.3%","16.7%","8.2%","9.5%","8.4%","44,550","54,492","","35,839","22,438","27,047","31,825","42,198","57,497","","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,808,126","40,881","3,157,113","1.3%","2.5%","10.2%","12.3%","15.9%","14.9%","7.0%","12.9%","23.1%","(X)","78,364","","47,461","22,319","31,941","41,074","62,300","87,104","","21.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,521,954","49,101","1,812,816","1.2%","2.1%","8.4%","11.0%","14.4%","14.1%","6.9%","13.2%","28.6%","62,311","89,170","","55,553","26,780","40,156","50,272","77,001","103,899","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,286,172","32,614","1,344,297","1.5%","3.0%","12.7%","14.0%","17.8%","15.9%","7.2%","12.4%","15.6%","50,574","63,792","","39,899","17,787","25,274","33,827","52,628","70,463","","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","995,975","26,949","619,825","2.5%","5.5%","18.0%","17.1%","19.7%","13.4%","6.0%","8.4%","9.5%","(X)","51,825","","31,524","18,979","25,622","30,487","42,021","56,325","","18.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","523,043","31,443","349,568","2.1%","4.3%","15.8%","15.3%","19.0%","14.1%","6.8%","9.9%","12.7%","42,297","58,636","","37,085","22,558","29,622","38,138","48,598","73,053","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","472,932","22,668","270,257","3.0%","7.1%","20.8%","19.4%","20.4%","12.4%","4.8%","6.5%","5.5%","34,668","43,016","","26,749","14,999","21,264","24,724","39,179","51,275","","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,429,686","36,263","6,710,730","1.5%","3.0%","11.3%","13.4%","18.3%","15.6%","7.1%","11.6%","18.1%","(X)","72,152","","41,610","21,133","30,742","37,005","56,868","73,504","","24.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,376,236","41,130","3,745,109","1.5%","2.6%","10.5%","12.6%","16.8%","15.4%","7.0%","11.7%","21.9%","53,124","80,871","","47,486","24,733","36,058","44,272","65,877","90,246","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,053,450","31,539","2,965,621","1.6%","3.5%","12.3%","14.5%","20.1%","16.0%","7.2%","11.5%","13.4%","47,358","61,142","","36,745","16,565","24,019","31,607","50,554","65,280","","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,200,447","30,552","3,352,045","1.9%","3.8%","14.9%","18.7%","21.7%","14.7%","5.5%","7.7%","11.1%","(X)","56,013","","35,160","20,664","26,922","31,666","47,143","60,374","","18.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,698,463","35,022","1,900,122","1.7%","3.1%","13.0%","17.0%","20.4%","15.5%","6.0%","9.1%","14.3%","45,180","62,699","","40,443","24,249","31,155","39,690","59,337","76,763","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,501,984","26,099","1,451,923","2.2%","4.7%","17.3%","20.9%","23.3%","13.8%","5.0%","6.0%","6.8%","36,987","47,263","","30,401","15,428","21,847","26,945","40,461","50,992","","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","455,564","35,039","289,362","1.8%","1.9%","10.1%","16.8%","25.3%","17.2%","6.3%","9.2%","11.5%","(X)","58,649","","40,683","29,430","32,689","39,346","46,865","61,079","","18.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","249,131","41,897","174,479","2.0%","1.3%","7.8%","12.2%","22.1%","19.4%","7.2%","12.0%","15.9%","51,789","67,438","","49,294","33,650","41,153","49,621","59,962","72,003","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","206,433","27,452","114,883","1.5%","2.9%","13.5%","23.9%","30.1%","13.7%","4.8%","4.8%","4.7%","38,407","45,302","","31,993","22,972","24,461","30,530","40,891","53,704","","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,166,974","31,289","3,871,126","1.5%","3.3%","12.6%","17.0%","22.0%","16.4%","7.1%","9.4%","10.7%","(X)","57,476","","36,819","20,969","30,230","33,825","50,830","65,773","","17.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,203,961","37,345","2,191,101","1.4%","2.5%","9.8%","14.5%","21.3%","17.5%","7.7%","11.2%","14.2%","50,227","65,052","","42,943","24,752","36,246","41,656","61,516","79,994","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,963,013","25,921","1,680,025","1.7%","4.3%","16.3%","20.4%","22.9%","15.0%","6.3%","7.0%","6.1%","38,750","47,596","","30,797","15,949","22,423","28,026","41,988","56,663","","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,960,294","30,262","1,287,784","2.2%","4.5%","15.8%","18.7%","21.8%","14.0%","6.3%","7.7%","9.0%","(X)","52,264","","34,558","21,968","28,144","33,012","44,977","57,433","","21.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,040,350","35,891","735,478","2.1%","3.0%","12.8%","15.6%","20.8%","16.1%","7.6%","9.6%","12.5%","46,027","60,216","","41,257","27,239","34,601","41,752","59,070","72,704","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","919,944","24,542","552,306","2.5%","6.5%","19.7%","22.8%","23.1%","11.2%","4.7%","5.2%","4.4%","33,972","41,675","","28,677","15,272","22,127","27,225","37,155","46,260","","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,187,015","30,897","1,283,194","2.2%","3.3%","12.8%","16.2%","20.1%","15.3%","6.9%","10.1%","13.2%","(X)","59,883","","35,945","22,194","29,816","32,004","46,942","63,868","","16.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,151,245","36,271","748,220","2.0%","2.8%","10.7%","14.2%","18.9%","16.2%","7.4%","11.3%","16.4%","50,676","66,501","","41,746","26,312","33,887","40,278","57,328","76,876","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,035,770","25,768","534,974","2.5%","4.0%","15.6%","18.9%","21.9%","14.0%","6.0%","8.3%","8.8%","40,193","50,627","","30,609","18,731","22,304","27,317","38,823","54,926","","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,803,375","32,465","4,302,346","1.6%","2.7%","11.4%","16.0%","21.1%","16.5%","7.2%","10.4%","13.0%","(X)","61,805","","39,615","22,805","30,508","35,886","51,199","69,691","","19.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,532,088","40,443","2,421,499","1.4%","2.2%","9.2%","13.3%","19.7%","17.6%","7.6%","11.7%","17.2%","51,780","70,046","","46,410","27,422","37,115","42,728","61,491","86,290","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,271,287","27,415","1,880,847","1.8%","3.4%","14.3%","19.4%","22.9%","15.1%","6.7%","8.8%","7.7%","41,047","51,195","","31,973","16,859","23,682","30,649","42,127","59,533","","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","582,207","35,343","356,135","1.4%","1.9%","9.7%","14.8%","21.1%","17.8%","8.1%","12.3%","12.9%","(X)","63,108","","41,590","25,603","32,759","37,040","52,045","71,414","","19.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","297,108","41,141","195,694","1.1%","1.5%","7.4%","12.3%","20.1%","18.9%","8.3%","13.3%","17.1%","53,400","71,042","","49,657","31,028","40,702","45,908","64,084","81,386","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","285,099","30,492","160,441","1.6%","2.4%","12.5%","17.9%","22.2%","16.5%","7.7%","11.2%","7.9%","43,541","53,431","","35,786","19,015","27,367","31,674","44,461","67,238","","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,501,721","29,640","1,620,853","2.0%","4.4%","16.2%","19.3%","21.7%","14.7%","5.1%","7.6%","9.2%","(X)","52,146","","33,255","20,566","27,031","31,621","46,083","55,218","","20.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,279,875","34,430","899,733","1.6%","3.6%","13.2%","16.9%","20.7%","15.7%","6.0%","9.7%","12.6%","45,038","59,425","","40,515","23,963","32,166","40,843","60,309","71,340","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,221,846","24,876","721,120","2.4%","5.3%","20.0%","22.1%","22.9%","13.3%","4.0%","5.0%","5.0%","35,043","43,063","","28,871","15,042","21,711","26,667","37,329","49,669","","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","490,373","31,032","315,039","1.6%","3.2%","13.0%","20.1%","26.6%","16.1%","4.9%","6.5%","7.9%","(X)","52,177","","36,068","22,805","30,297","35,083","42,054","51,902","","15.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","262,526","36,465","183,413","1.7%","2.7%","9.7%","16.1%","26.8%","18.5%","5.9%","8.1%","10.5%","45,384","58,662","","41,435","26,403","37,084","41,357","50,989","54,162","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","227,847","26,067","131,626","1.4%","4.0%","17.6%","25.8%","26.4%","12.7%","3.6%","4.3%","4.3%","35,436","43,140","","30,410","16,941","23,299","28,103","36,930","51,201","","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,348,868","30,164","2,195,900","1.8%","4.0%","16.2%","18.9%","22.4%","14.5%","5.4%","7.3%","9.5%","(X)","53,535","","34,346","21,156","27,292","32,327","46,065","56,454","","20.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,746,427","34,420","1,239,308","1.6%","3.4%","13.5%","17.3%","20.6%","15.8%","6.1%","8.9%","12.8%","43,661","60,811","","40,337","24,202","31,906","40,671","56,720","74,182","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,602,441","25,436","956,592","2.1%","4.7%","19.7%","20.9%","24.7%","12.8%","4.5%","5.3%","5.2%","35,916","44,109","","29,741","15,246","21,800","27,531","39,584","48,814","","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,279,918","31,288","9,594,184","2.0%","4.6%","16.0%","16.3%","18.3%","14.6%","5.9%","9.1%","13.3%","(X)","59,386","","36,691","21,720","27,774","35,933","52,967","69,803","","20.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,718,450","36,725","5,599,261","1.8%","3.5%","13.7%","15.4%","17.4%","14.3%","6.2%","10.3%","17.4%","47,351","67,445","","42,309","26,296","33,121","42,697","65,665","89,008","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,561,468","25,853","3,994,923","2.4%","6.2%","19.2%","17.4%","19.5%","15.1%","5.4%","7.4%","7.5%","37,576","48,091","","30,612","15,492","21,777","30,243","46,826","56,954","","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,602,733","30,209","970,932","2.0%","3.3%","13.3%","17.1%","20.0%","15.9%","6.7%","9.4%","12.3%","(X)","58,592","","37,171","25,501","30,923","34,015","47,164","70,026","","16.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","882,541","38,593","614,976","1.5%","2.6%","10.4%","14.3%","18.7%","16.7%","7.6%","11.6%","16.5%","51,099","67,216","","48,178","30,348","38,246","42,410","62,381","83,953","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","720,192","21,472","355,956","2.8%","4.4%","18.3%","21.9%","22.4%","14.7%","5.0%","5.6%","4.8%","36,022","43,693","","27,026","18,692","22,305","25,959","32,511","55,474","","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","364,191","32,028","221,970","1.7%","2.0%","10.8%","18.0%","24.4%","17.1%","6.7%","9.8%","9.6%","(X)","56,476","","37,965","26,125","31,471","35,937","42,338","57,297","","16.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","186,511","36,322","123,352","1.9%","1.4%","9.5%","16.2%","23.2%","17.6%","7.7%","10.9%","11.6%","47,840","61,110","","41,926","28,246","36,921","41,631","50,236","67,558","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","177,680","29,214","98,618","1.5%","2.6%","12.3%","20.2%","26.0%","16.5%","5.4%","8.4%","7.0%","41,122","50,681","","33,323","19,350","25,880","30,752","38,922","51,527","","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,652,897","36,282","3,064,617","1.7%","2.9%","11.2%","13.9%","18.9%","14.9%","6.1%","11.1%","19.3%","(X)","68,541","","42,006","23,061","30,524","36,778","56,324","80,559","","19.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,432,310","41,905","1,742,452","1.6%","2.2%","9.6%","12.2%","17.3%","14.7%","6.5%","11.9%","23.9%","55,817","76,418","","50,632","27,796","35,687","43,396","72,263","101,474","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,220,587","30,591","1,322,165","1.8%","3.8%","13.4%","16.2%","21.0%","15.0%","5.6%","10.0%","13.3%","44,798","58,160","","36,044","17,450","24,588","31,121","45,901","61,735","","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,950,129","36,353","2,454,363","1.4%","2.0%","9.8%","14.2%","19.3%","15.4%","7.4%","12.3%","18.2%","(X)","69,464","","41,887","25,151","32,077","37,295","58,262","72,335","","16.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,123,841","43,776","1,464,421","1.2%","1.4%","8.1%","12.3%","17.5%","15.3%","7.6%","13.8%","22.7%","58,864","77,745","","51,059","29,357","40,056","46,501","73,094","91,609","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,826,288","29,662","989,942","1.6%","2.7%","12.4%","17.0%","22.0%","15.6%","7.2%","10.0%","11.4%","45,056","57,215","","34,216","19,044","25,866","30,751","45,481","60,713","","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","841,515","27,617","529,355","1.6%","4.2%","17.9%","18.6%","20.5%","14.6%","5.8%","8.7%","8.1%","(X)","50,999","","31,970","20,512","26,122","31,038","42,318","54,743","","17.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","434,526","34,509","293,975","1.6%","3.5%","13.4%","15.6%","19.9%","16.4%","7.0%","11.3%","11.5%","46,029","59,333","","40,354","26,041","32,837","41,313","51,796","70,911","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","406,989","22,611","235,380","1.6%","5.1%","23.6%","22.5%","21.2%","12.4%","4.4%","5.5%","3.8%","33,228","40,590","","26,243","14,564","21,189","24,732","37,040","48,278","","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,281,915","32,038","2,038,873","1.7%","2.6%","11.6%","16.9%","23.4%","17.5%","7.2%","9.4%","9.8%","(X)","57,199","","38,599","24,238","31,233","36,035","50,323","62,487","","16.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,711,444","39,933","1,176,284","1.5%","2.2%","8.9%","13.9%","22.5%","19.0%","8.2%","11.2%","12.7%","50,399","64,101","","45,581","28,105","37,247","44,683","61,259","75,101","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,570,471","26,715","862,589","2.0%","3.2%","15.2%","21.0%","24.6%","15.4%","5.8%","6.9%","5.9%","39,440","47,786","","31,607","19,477","24,607","30,075","41,599","55,505","","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","326,498","31,526","203,254","2.9%","4.3%","12.2%","14.4%","20.8%","16.7%","6.7%","10.8%","11.4%","(X)","56,917","","37,164","23,969","31,491","34,750","47,322","59,833","","19.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","180,435","39,913","123,611","2.8%","4.1%","9.7%","11.9%","18.7%","16.4%","6.1%","14.1%","16.2%","51,234","64,625","","46,517","30,068","41,567","46,331","51,077","68,447","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","146,063","24,526","79,643","2.9%","4.7%","16.1%","18.2%","24.1%","17.1%","7.6%","5.7%","3.8%","39,338","44,954","","29,021","18,200","21,948","24,913","45,418","53,148","","(X)"
