"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Full-time, year-round workers with earnings!!$10,000 to $14,999","Full-time, year-round workers with earnings!!$15,000 to $24,999","Full-time, year-round workers with earnings!!$25,000 to $34,999","Full-time, year-round workers with earnings!!$35,000 to $49,999","Full-time, year-round workers with earnings!!$50,000 to $64,999","Full-time, year-round workers with earnings!!$65,000 to $74,999","Full-time, year-round workers with earnings!!$75,000 to $99,999","Full-time, year-round workers with earnings!!$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"        Estimate","368,014","27,743","194,846","2.2%","1.6%","12.9%","20.6%","25.0%","17.1%","4.8%","8.7%","7.1%","41,542","50,369","","32,329","20,079","25,961","30,735","40,215","51,969","","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,697,914","37,611","3,006,550","1.4%","3.1%","10.6%","12.2%","16.6%","16.0%","7.1%","12.6%","20.4%","(X)","74,413","","44,938","21,398","31,654","38,677","60,457","81,217","","21.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,457,834","46,042","1,732,175","1.2%","2.7%","9.3%","10.7%","14.7%","15.3%","7.1%","13.0%","26.0%","60,815","84,860","","52,078","24,804","40,153","47,316","72,450","100,692","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,240,080","31,231","1,274,375","1.6%","3.7%","12.3%","14.2%","19.3%","17.0%","7.0%","12.0%","12.9%","48,640","60,212","","36,546","16,591","25,238","32,213","50,826","66,342","","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","987,781","25,964","606,977","2.8%","6.3%","17.8%","16.4%","20.3%","14.1%","6.0%","7.7%","8.6%","(X)","49,862","","31,178","16,615","25,765","30,004","41,940","55,311","","18.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","525,416","30,980","349,888","2.4%","5.7%","14.9%","15.2%","19.2%","14.9%","6.6%","9.5%","11.7%","42,305","56,072","","36,823","21,272","30,947","37,142","50,176","71,911","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","462,365","21,793","257,089","3.3%","7.2%","21.7%","18.1%","21.8%","13.1%","5.2%","5.3%","4.4%","34,591","41,410","","25,562","11,230","20,517","24,111","38,059","48,439","","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,228,286","33,062","6,480,034","1.9%","3.7%","12.2%","14.6%","18.7%","15.0%","6.6%","11.2%","16.1%","(X)","67,670","","39,914","20,190","29,182","36,014","53,490","70,822","","24.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,268,036","38,004","3,597,220","1.7%","3.5%","11.7%","13.0%","17.2%","14.8%","6.7%","11.7%","19.6%","51,414","75,949","","44,189","22,449","33,280","41,709","62,300","84,108","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,960,250","30,279","2,882,814","2.1%","4.0%","12.8%","16.5%","20.7%","15.2%","6.4%","10.6%","11.6%","44,114","57,340","","34,987","15,650","23,891","31,184","47,480","61,556","","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,973,883","27,389","3,122,813","2.1%","4.5%","17.3%","19.3%","21.3%","13.5%","5.0%","7.3%","9.6%","(X)","52,633","","31,716","18,262","25,445","30,636","44,733","57,798","","18.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,571,717","31,566","1,753,042","1.7%","3.5%","15.0%","17.7%","20.5%","14.4%","5.5%","8.7%","12.9%","42,146","59,797","","37,064","20,993","30,110","36,567","56,354","76,248","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,402,166","23,667","1,369,771","2.5%","5.8%","20.3%","21.4%","22.3%","12.4%","4.3%","5.5%","5.3%","34,917","43,464","","27,380","14,351","21,005","25,825","36,872","50,002","","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","436,683","31,286","279,653","2.0%","4.0%","12.9%","18.2%","24.0%","15.5%","5.7%","8.5%","9.3%","(X)","54,197","","37,193","25,332","30,974","36,441","43,465","52,291","","19.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","239,681","39,402","168,445","1.5%","3.2%","9.8%","13.6%","22.6%","17.7%","7.2%","11.7%","12.7%","49,231","62,741","","45,760","31,735","38,612","48,159","51,789","62,216","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","197,002","25,255","111,208","2.7%","5.2%","17.6%","25.0%","26.1%","12.1%","3.4%","3.6%","4.3%","34,549","41,257","","29,777","11,381","22,552","27,805","36,737","48,825","","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,024,346","29,220","3,685,141","1.8%","3.7%","14.7%","17.5%","21.8%","15.8%","6.6%","8.8%","9.3%","(X)","54,370","","34,575","19,078","27,313","31,831","48,894","61,794","","17.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,106,220","35,628","2,096,696","1.6%","2.9%","11.6%","14.9%","21.5%","16.7%","7.4%","10.7%","12.8%","47,323","61,611","","41,365","22,440","34,111","40,426","60,863","76,398","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,918,126","23,358","1,588,445","2.0%","4.6%","18.9%","21.1%","22.1%","14.7%","5.4%","6.3%","4.8%","36,569","44,813","","27,911","14,483","21,241","26,763","40,129","52,739","","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,930,890","27,416","1,279,478","2.6%","4.8%","18.7%","19.2%","21.5%","13.4%","4.8%","7.1%","7.9%","(X)","49,324","","31,730","21,464","26,728","31,207","41,397","52,610","","20.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,040,082","32,470","746,727","2.1%","3.5%","15.4%","16.6%","20.5%","15.7%","5.8%","9.3%","11.1%","42,116","56,943","","39,103","25,995","32,594","39,680","52,342","69,566","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","890,808","22,196","532,751","3.4%","6.6%","23.5%","22.8%","22.9%","10.0%","3.4%","4.1%","3.4%","31,539","38,646","","26,093","15,369","20,508","25,567","35,293","45,416","","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,047,284","26,845","1,128,448","2.1%","3.6%","14.9%","17.3%","20.6%","14.8%","6.7%","9.5%","10.5%","(X)","55,840","","31,633","19,512","26,097","30,385","42,388","57,215","","16.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,072,411","31,635","664,043","2.0%","3.1%","13.8%","15.1%","19.3%","15.6%","7.0%","10.7%","13.5%","46,679","61,263","","37,353","22,062","30,878","36,581","52,350","66,572","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","974,873","22,579","464,405","2.1%","4.4%","16.6%","20.5%","22.4%","13.6%","6.2%","7.8%","6.3%","37,555","48,086","","26,606","15,118","21,569","25,257","34,622","50,297","","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,723,912","31,129","4,151,392","1.9%","3.1%","12.8%","16.9%","21.8%","16.4%","6.6%","9.4%","11.2%","(X)","58,491","","36,407","21,616","28,851","34,134","49,318","64,939","","19.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,485,504","37,439","2,357,721","1.7%","2.6%","9.7%","14.4%","21.1%","17.4%","7.0%","11.0%","15.2%","50,231","66,815","","42,416","26,883","35,363","41,363","58,211","81,771","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,238,408","25,407","1,793,671","2.1%","3.8%","16.8%","20.3%","22.7%","15.0%","6.1%","7.4%","5.9%","38,368","47,549","","30,374","15,607","22,142","28,904","41,164","54,907","","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","576,434","31,832","336,779","1.8%","2.6%","10.3%","15.4%","21.6%","17.0%","7.6%","10.9%","12.7%","(X)","61,570","","39,221","21,120","30,688","35,697","52,002","67,373","","21.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","298,130","37,618","195,103","2.0%","2.5%","8.9%","12.8%","20.3%","17.9%","8.0%","11.0%","16.8%","51,695","68,085","","43,330","25,644","37,241","40,881","61,267","77,436","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","278,304","26,982","141,676","1.6%","2.9%","12.3%","19.0%","23.4%","15.7%","7.1%","10.9%","7.2%","42,455","52,597","","33,315","16,598","25,781","30,938","45,936","60,137","","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,360,310","26,559","1,475,326","2.6%","4.5%","18.5%","19.5%","21.6%","13.9%","5.1%","6.9%","7.3%","(X)","48,049","","31,206","17,806","25,230","30,626","41,840","51,346","","21.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,216,965","31,039","820,987","2.1%","3.4%","15.7%","17.3%","20.4%","15.6%","6.3%","8.8%","10.3%","41,599","54,760","","36,473","20,447","30,418","37,379","54,026","65,547","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,143,345","22,176","654,339","3.2%","5.9%","22.0%","22.2%","23.0%","11.8%","3.7%","4.5%","3.5%","32,385","39,629","","26,777","15,202","20,519","25,394","36,071","45,625","","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","485,681","26,887","305,437","2.5%","4.0%","17.4%","22.2%","25.7%","12.4%","4.2%","5.1%","6.5%","(X)","47,556","","31,366","20,940","27,082","30,389","37,730","50,243","","17.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","255,538","32,418","176,025","2.2%","3.1%","12.9%","17.5%","27.6%","14.4%","5.5%","6.8%","9.9%","41,328","56,242","","37,608","25,589","33,279","36,825","47,292","59,539","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","230,143","22,010","129,412","2.8%","5.3%","23.7%","28.4%","23.1%","9.6%","2.5%","2.8%","1.8%","31,038","35,740","","25,858","13,497","21,370","24,362","31,719","44,973","","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,255,129","27,084","2,056,731","2.3%","4.7%","17.7%","19.2%","22.7%","13.6%","4.7%","6.8%","8.3%","(X)","50,768","","31,585","18,706","25,504","31,143","42,403","55,401","","19.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,703,306","31,329","1,153,811","1.9%","3.7%","15.8%","17.1%","21.6%","14.7%","5.5%","8.6%","11.2%","41,493","57,571","","36,400","20,901","30,443","36,656","51,365","75,786","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,551,823","23,201","902,920","2.8%","5.9%","20.2%","21.9%","24.1%","12.2%","3.7%","4.6%","4.6%","34,301","42,075","","27,283","14,545","20,756","26,739","37,262","47,357","","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,454,822","29,586","8,854,285","2.3%","5.4%","17.3%","16.1%","19.2%","13.8%","5.7%","8.5%","11.7%","(X)","56,066","","34,616","19,870","26,757","33,350","50,704","65,760","","20.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,299,048","34,500","5,197,539","1.9%","4.2%","15.2%","15.0%","18.0%","14.0%","6.2%","9.8%","15.7%","45,820","63,655","","40,849","23,901","31,909","41,363","62,434","83,344","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,155,774","23,548","3,656,746","2.9%","7.1%","20.3%","17.7%","20.9%","13.6%","5.0%","6.6%","6.0%","36,032","45,280","","28,245","13,910","21,278","27,510","43,313","53,836","","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,489,201","27,005","871,657","2.0%","4.1%","14.5%","16.0%","21.5%","15.7%","6.5%","8.9%","10.7%","(X)","55,576","","35,365","22,290","27,868","31,843","44,668","61,774","","17.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","825,170","36,225","556,964","1.7%","3.2%","11.4%","13.2%","19.5%","16.9%","8.1%","11.2%","14.8%","50,396","63,974","","45,595","27,076","35,907","41,535","58,544","80,086","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","664,031","19,652","314,693","2.6%","5.6%","20.1%","21.0%","25.1%","13.6%","3.6%","5.0%","3.5%","35,252","40,714","","24,703","16,170","20,933","22,768","31,288","47,586","","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","366,286","29,528","211,487","2.2%","2.9%","13.2%","18.5%","23.8%","16.9%","6.1%","7.6%","8.8%","(X)","53,964","","34,771","23,474","29,002","31,443","40,889","54,872","","16.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","186,327","32,215","115,259","1.7%","2.3%","11.7%","16.4%","23.5%","17.6%","6.9%","7.7%","12.3%","46,175","60,489","","39,136","24,397","32,413","35,315","50,647","61,202","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","179,959","25,521","96,228","2.7%","3.6%","15.1%","21.0%","24.3%","16.1%","5.1%","7.4%","4.7%","38,316","46,149","","30,890","22,847","23,075","28,245","35,627","51,429","","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,519,425","33,742","2,946,567","1.8%","3.2%","12.9%","14.6%","19.0%","14.2%","6.4%","10.8%","17.2%","(X)","64,787","","40,465","21,629","28,505","35,244","54,270","76,575","","18.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,369,146","40,779","1,688,880","1.6%","2.6%","10.9%","12.7%","17.8%","14.4%","6.6%","11.6%","22.0%","52,453","72,822","","47,440","25,820","33,610","41,553","70,639","99,594","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,150,279","27,499","1,257,687","1.9%","4.0%","15.7%","17.2%","20.6%","13.9%","6.1%","9.7%","10.9%","41,545","53,998","","32,411","16,893","23,062","29,366","43,396","60,114","","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,699,344","32,348","2,226,250","1.5%","2.7%","12.2%","14.3%","20.1%","16.1%","7.1%","11.2%","15.0%","(X)","63,062","","38,926","21,550","30,595","35,743","52,013","67,087","","16.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,985,145","40,348","1,320,224","1.3%","2.1%","10.6%","11.9%","18.8%","16.1%","7.6%","12.5%","19.2%","52,482","70,388","","46,649","25,536","35,951","42,799","65,874","84,578","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,714,199","26,804","906,026","1.7%","3.6%","14.4%","17.7%","22.0%","16.0%","6.3%","9.3%","8.9%","41,897","52,386","","31,312","16,913","24,258","29,640","41,508","55,430","","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","857,655","26,647","538,490","2.5%","4.6%","18.7%","18.2%","20.3%","14.8%","5.4%","8.1%","7.3%","(X)","48,969","","31,406","20,267","27,085","28,818","42,380","54,456","","18.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","459,531","33,602","312,876","2.3%","3.3%","13.7%","15.6%","20.1%","17.3%","6.5%","11.1%","10.1%","44,994","56,706","","39,303","23,893","35,248","38,051","54,066","67,036","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","398,124","21,390","225,614","2.8%","6.5%","25.7%","21.9%","20.7%","11.2%","4.0%","3.9%","3.3%","31,240","38,240","","25,076","12,441","20,841","23,098","36,625","48,868","","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,208,468","30,089","1,930,362","1.9%","3.3%","13.9%","17.9%","23.6%","16.7%","6.3%","8.4%","8.0%","(X)","53,437","","35,158","20,752","28,969","32,111","46,445","60,202","","17.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,663,255","35,715","1,109,095","1.9%","2.8%","10.9%","15.1%","22.9%","17.9%","7.2%","10.3%","11.0%","46,801","60,249","","41,228","24,723","34,015","41,023","56,818","70,769","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,545,213","24,335","821,267","1.9%","3.9%","18.0%","21.6%","24.5%","15.0%","5.2%","5.8%","4.1%","36,884","44,237","","29,366","15,424","22,857","26,697","39,550","52,758","","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","339,202","30,833","209,680","2.2%","4.2%","12.8%","17.1%","19.8%","16.4%","7.5%","10.7%","9.2%","(X)","53,061","","36,543","24,796","32,111","31,843","46,287","56,548","","19.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","184,664","39,234","123,773","2.2%","2.3%","10.6%","12.6%","19.2%","15.8%","8.5%","14.8%","13.8%","51,708","61,278","","46,988","32,938","41,901","43,398","55,288","61,747","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","154,538","23,829","85,907","2.4%","6.9%","16.0%","23.4%","20.7%","17.2%","6.1%","4.7%","2.5%","35,829","41,222","","27,295","13,599","24,006","25,059","39,743","52,442","","(X)"
