"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Full-time, year-round workers with earnings!!$10,000 to $14,999","Full-time, year-round workers with earnings!!$15,000 to $24,999","Full-time, year-round workers with earnings!!$25,000 to $34,999","Full-time, year-round workers with earnings!!$35,000 to $49,999","Full-time, year-round workers with earnings!!$50,000 to $64,999","Full-time, year-round workers with earnings!!$65,000 to $74,999","Full-time, year-round workers with earnings!!$75,000 to $99,999","Full-time, year-round workers with earnings!!$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"        Estimate","372,447","29,511","206,067","1.8%","2.4%","11.6%","20.4%","23.4%","16.9%","7.1%","8.9%","7.6%","42,052","51,800","","33,639","21,804","26,351","31,589","40,226","52,396","","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,792,783","38,893","3,104,223","1.5%","2.9%","10.8%","12.1%","16.9%","15.3%","7.0%","12.8%","20.7%","(X)","74,686","","45,239","21,808","31,921","40,086","60,575","81,156","","21.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,516,056","45,957","1,781,386","1.3%","2.3%","9.4%","10.7%","15.6%","14.5%","6.8%","13.2%","26.2%","60,870","84,864","","52,151","25,461","39,364","47,578","73,342","100,984","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,276,727","31,587","1,322,837","1.7%","3.7%","12.7%","14.0%","18.6%","16.4%","7.2%","12.3%","13.4%","48,943","60,982","","37,216","17,166","25,513","32,249","50,857","66,572","","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","991,323","25,736","615,666","3.4%","5.2%","19.2%","17.6%","18.6%","13.2%","5.7%","8.8%","8.3%","(X)","49,109","","30,897","17,275","25,086","30,299","42,412","54,671","","18.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","527,284","30,544","353,303","2.3%","4.3%","16.7%","16.5%","18.8%","14.0%","6.1%","10.5%","10.7%","41,561","54,063","","36,165","21,731","30,183","36,740","50,313","70,826","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","464,039","21,620","262,363","4.8%","6.3%","22.6%","18.9%","18.5%","12.1%","5.2%","6.5%","5.1%","32,473","42,438","","25,532","12,169","20,284","23,842","38,100","50,723","","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,311,945","34,308","6,555,496","1.9%","3.4%","12.2%","14.3%","18.8%","15.3%","6.7%","11.2%","16.2%","(X)","68,681","","40,339","20,071","29,501","36,359","53,280","70,858","","23.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,311,053","39,407","3,648,217","1.7%","3.2%","11.3%","13.2%","17.3%","15.0%","6.7%","11.7%","19.9%","51,580","76,685","","45,068","22,750","33,826","42,205","61,969","84,202","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,000,892","30,475","2,907,279","2.1%","3.6%","13.3%","15.6%","20.7%","15.6%","6.6%","10.7%","11.6%","44,781","58,637","","35,411","16,013","23,937","31,239","47,349","61,997","","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,033,302","28,248","3,173,840","1.7%","4.5%","16.6%","19.9%","21.5%","13.6%","5.0%","7.4%","9.7%","(X)","53,014","","31,932","18,463","26,101","30,684","44,021","58,579","","18.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,610,699","31,657","1,791,793","1.4%","3.6%","14.7%","18.3%","20.6%","14.3%","5.4%","8.7%","13.0%","41,857","59,865","","36,785","20,974","30,377","36,970","54,546","76,481","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,422,603","24,329","1,382,047","2.1%","5.7%","19.1%","22.0%","22.6%","12.8%","4.5%","5.8%","5.4%","35,481","44,131","","28,447","14,516","21,053","26,047","37,537","49,043","","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","446,814","32,022","281,201","1.8%","3.0%","12.1%","17.7%","24.4%","15.5%","5.8%","8.9%","10.8%","(X)","58,478","","38,635","26,212","32,599","36,363","42,262","61,384","","20.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","244,168","40,921","170,629","2.1%","2.5%","8.4%","13.6%","22.0%","16.6%","6.5%","12.5%","15.7%","50,624","69,131","","48,184","31,641","42,137","50,080","52,324","74,384","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","202,646","25,707","110,572","1.3%","3.7%","17.7%","23.9%","28.2%","13.8%","4.8%","3.3%","3.3%","36,087","42,039","","30,534","16,764","22,426","27,889","38,081","51,864","","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,082,250","30,134","3,750,977","1.8%","3.6%","13.8%","17.8%","21.9%","16.2%","6.5%","8.9%","9.4%","(X)","54,899","","35,199","20,122","28,402","31,815","48,648","62,450","","18.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,152,826","35,663","2,129,921","1.6%","2.7%","11.1%","15.3%","21.4%","17.3%","7.2%","10.6%","12.8%","47,737","62,183","","41,427","24,790","34,699","39,592","60,084","76,178","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,929,424","24,455","1,621,056","2.1%","4.7%","17.4%","21.1%","22.6%","14.8%","5.5%","6.8%","5.0%","37,140","45,327","","29,396","14,572","21,823","26,861","40,313","55,514","","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,950,135","28,548","1,285,759","2.3%","5.0%","17.1%","19.8%","21.2%","14.0%","5.3%","7.1%","8.1%","(X)","50,272","","32,431","20,884","27,380","31,848","43,293","53,563","","20.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,041,048","34,234","746,899","2.0%","3.7%","13.5%","17.6%","20.2%","15.9%","6.5%","9.0%","11.5%","43,803","58,239","","40,563","25,371","33,538","41,479","55,516","70,787","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","909,087","22,829","538,860","2.6%","6.9%","22.1%","22.9%","22.6%","11.5%","3.6%","4.5%","3.3%","32,186","39,228","","26,945","14,280","21,460","25,844","36,358","46,114","","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,072,072","27,367","1,161,581","2.0%","3.5%","15.0%","16.8%","20.6%","14.8%","6.3%","9.8%","11.2%","(X)","56,667","","32,096","20,166","26,075","31,106","42,084","58,547","","15.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,087,097","31,977","682,309","1.9%","2.7%","13.4%","15.4%","19.0%","15.7%","6.7%","11.1%","14.2%","47,194","62,768","","38,007","22,516","30,527","36,959","53,846","74,133","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","984,975","23,024","479,272","2.2%","4.7%","17.3%","18.8%","22.8%","13.5%","5.7%","8.0%","7.0%","38,801","47,981","","27,167","14,532","21,598","25,981","33,215","49,306","","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,739,281","31,524","4,199,531","1.7%","2.9%","12.4%","17.0%","21.8%","16.4%","6.6%","9.7%","11.4%","(X)","59,070","","37,024","21,183","30,098","35,141","50,017","65,271","","19.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,491,756","38,204","2,380,117","1.6%","2.4%","10.0%","14.2%","20.9%","17.5%","7.3%","11.0%","15.1%","50,412","66,652","","43,588","26,036","36,370","41,979","60,385","81,156","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,247,525","26,207","1,819,414","1.9%","3.6%","15.5%","20.6%","22.9%","15.0%","5.8%","8.1%","6.6%","39,905","49,151","","30,924","14,541","22,720","29,893","41,185","56,021","","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","579,777","31,319","340,170","1.4%","2.9%","11.1%","17.4%","20.7%","15.2%","6.6%","11.2%","13.3%","(X)","61,157","","37,479","22,770","30,605","35,901","49,218","70,358","","20.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","296,878","36,574","191,006","0.9%","2.6%","9.2%","15.9%","19.5%","16.0%","7.0%","11.7%","17.2%","50,765","68,927","","42,462","26,830","36,150","41,931","59,777","80,508","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","282,899","26,534","149,164","2.2%","3.3%","13.5%","19.4%","22.1%","14.2%","6.1%","10.6%","8.5%","41,469","51,208","","31,947","14,737","24,713","30,953","41,471","61,223","","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,401,785","26,752","1,516,525","2.0%","5.0%","18.0%","19.2%","21.6%","14.4%","4.7%","7.4%","7.7%","(X)","49,545","","31,461","19,107","25,086","31,251","45,253","53,066","","19.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,242,838","31,359","850,241","1.6%","3.7%","15.5%","17.5%","21.0%","15.3%","5.5%","9.3%","10.6%","41,991","56,294","","37,072","21,487","30,373","38,886","55,365","67,058","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,158,947","22,311","666,284","2.5%","6.5%","21.2%","21.3%","22.4%","13.3%","3.8%","4.9%","4.1%","33,719","40,932","","26,711","14,256","20,229","25,905","36,374","48,445","","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","493,652","29,003","318,265","2.6%","4.1%","15.6%","22.0%","25.3%","13.9%","4.8%","5.4%","6.4%","(X)","48,116","","32,419","20,706","27,443","31,865","40,316","49,632","","17.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","261,613","34,114","182,809","2.3%","3.9%","12.2%","16.9%","25.6%","17.1%","6.0%","7.0%","9.1%","42,034","55,507","","40,165","26,227","32,028","40,933","49,939","60,173","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","232,039","24,536","135,456","2.9%","4.4%","20.1%","28.9%","24.8%","9.7%","3.0%","3.3%","2.9%","32,048","38,140","","27,495","11,836","22,319","26,418","34,255","42,657","","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,280,157","26,976","2,066,265","2.2%","4.5%","17.7%","19.6%","21.2%","13.9%","5.2%","7.2%","8.4%","(X)","51,196","","31,536","19,152","25,517","31,094","43,654","54,313","","19.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,706,184","31,538","1,167,829","1.9%","3.4%","15.3%","17.9%","20.7%","14.9%","5.8%","8.4%","11.7%","41,661","58,555","","36,710","21,818","30,622","37,560","52,740","71,280","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,573,973","22,539","898,436","2.6%","6.0%","20.8%","21.7%","21.9%","12.7%","4.4%","5.6%","4.2%","34,009","41,629","","26,829","14,394","20,471","26,148","37,183","47,439","","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,745,529","30,284","9,122,177","2.4%","5.3%","16.8%","16.0%","19.1%","14.0%","5.6%","8.6%","12.4%","(X)","57,167","","35,506","20,364","27,038","34,643","51,491","66,552","","20.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,448,460","35,774","5,367,980","2.0%","4.1%","14.6%","14.8%","17.9%","14.3%","6.0%","9.8%","16.4%","46,235","65,180","","41,478","24,806","32,215","42,094","63,857","85,800","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,297,069","24,077","3,754,197","2.8%","7.0%","19.9%","17.6%","20.8%","13.6%","5.0%","6.8%","6.6%","36,428","45,710","","28,547","13,995","21,134","27,525","44,446","54,070","","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,513,495","27,449","898,621","1.8%","3.8%","14.4%","17.2%","19.7%","16.1%","6.7%","9.5%","10.9%","(X)","56,970","","35,451","21,854","29,498","32,155","45,861","65,096","","17.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","834,439","36,944","573,001","1.3%","2.9%","11.1%","14.3%","18.4%","17.6%","7.6%","12.0%","14.8%","50,937","65,901","","46,479","26,244","36,361","43,089","60,794","80,366","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","679,056","20,197","325,620","2.8%","5.6%","20.1%","22.3%","22.0%","13.4%","5.0%","4.9%","3.9%","34,351","41,255","","25,151","16,269","22,535","23,338","31,104","50,431","","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","368,785","30,277","214,727","2.1%","2.6%","11.5%","19.0%","23.3%","17.1%","6.7%","9.2%","8.4%","(X)","53,586","","34,874","24,994","29,753","31,389","42,228","53,258","","16.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","188,829","34,839","121,823","1.7%","2.0%","9.0%","17.0%","24.0%","17.0%","7.4%","10.6%","11.3%","46,911","59,273","","40,798","31,292","34,468","37,039","50,125","62,986","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","179,956","25,083","92,904","2.6%","3.5%","14.9%","21.6%","22.5%","17.2%","5.8%","7.4%","4.6%","39,322","46,128","","29,353","12,496","22,169","27,180","36,095","47,495","","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,588,148","35,108","2,995,099","1.5%","3.2%","11.8%","14.7%","19.3%","14.5%","6.3%","11.0%","17.7%","(X)","66,110","","41,086","22,944","29,126","35,780","55,797","76,877","","19.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,403,039","41,266","1,713,186","1.3%","2.3%","10.0%","13.3%","17.9%","14.8%","6.4%","11.7%","22.4%","52,864","74,464","","49,005","26,862","33,608","43,361","70,408","100,128","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,185,109","28,663","1,281,913","1.7%","4.4%","14.2%","16.6%","21.1%","14.0%","6.2%","10.1%","11.5%","42,445","54,946","","33,745","17,177","23,218","29,272","45,923","60,773","","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,763,234","33,176","2,301,356","1.5%","2.5%","12.1%","14.7%","19.5%","15.5%","7.0%","11.4%","15.9%","(X)","64,156","","40,180","22,799","31,016","35,409","54,844","70,746","","16.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,021,794","41,354","1,382,621","1.3%","1.9%","9.9%","13.0%","17.9%","15.8%","7.4%","13.0%","19.9%","54,358","71,404","","48,534","26,718","37,088","44,598","68,110","87,151","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,741,440","26,353","918,735","1.8%","3.4%","15.3%","17.2%","21.9%","15.0%","6.4%","9.1%","9.8%","41,926","53,248","","31,302","17,690","23,483","28,369","42,470","56,930","","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","841,077","27,023","527,566","2.5%","4.2%","18.3%","18.4%","21.7%","14.5%","5.5%","7.8%","7.2%","(X)","47,982","","31,426","20,404","26,671","30,545","40,963","52,574","","18.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","443,801","33,401","302,453","2.3%","3.1%","12.7%","16.4%","21.6%","16.5%","6.7%","10.7%","10.1%","45,272","54,882","","38,840","26,245","34,337","40,065","49,127","64,051","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","397,276","21,770","225,113","2.7%","5.6%","25.7%","21.1%","21.9%","11.9%","3.8%","3.8%","3.4%","31,712","38,710","","25,344","13,359","19,916","25,265","35,956","49,299","","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,237,880","30,618","1,963,787","1.9%","3.1%","12.9%","17.3%","23.7%","17.1%","6.7%","8.6%","8.7%","(X)","54,245","","36,134","22,276","30,102","33,699","47,027","60,613","","16.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,678,056","36,765","1,130,647","1.8%","2.6%","10.3%","14.2%","23.4%","18.3%","7.6%","10.3%","11.6%","47,518","60,880","","42,157","26,240","35,991","41,767","58,032","71,468","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,559,824","25,272","833,140","2.1%","3.8%","16.5%","21.6%","24.1%","15.5%","5.5%","6.2%","4.7%","37,481","45,240","","30,272","16,358","23,363","27,544","40,082","53,568","","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","337,682","30,822","211,365","2.0%","4.0%","14.2%","15.9%","20.4%","16.3%","7.5%","10.8%","8.9%","(X)","54,089","","36,526","25,537","30,662","32,602","43,572","61,174","","21.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","183,194","40,821","126,884","1.4%","3.0%","10.6%","12.9%","18.1%","18.0%","8.5%","14.9%","12.5%","51,926","61,611","","47,102","32,173","42,007","45,175","53,575","70,944","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","154,488","23,138","84,481","3.0%","5.4%","19.5%","20.4%","23.9%","13.7%","5.9%","4.6%","3.5%","35,652","42,792","","27,151","14,462","21,255","25,418","36,269","55,636","","(X)"
