"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Full-time, year-round workers with earnings!!$10,000 to $14,999","Full-time, year-round workers with earnings!!$15,000 to $24,999","Full-time, year-round workers with earnings!!$25,000 to $34,999","Full-time, year-round workers with earnings!!$35,000 to $49,999","Full-time, year-round workers with earnings!!$50,000 to $64,999","Full-time, year-round workers with earnings!!$65,000 to $74,999","Full-time, year-round workers with earnings!!$75,000 to $99,999","Full-time, year-round workers with earnings!!$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"        Estimate","376,578","30,621","207,575","1.1%","2.2%","11.6%","18.2%","25.5%","17.2%","6.4%","9.1%","8.7%","43,172","53,156","","36,037","23,518","27,088","33,577","41,958","57,362","","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,783,780","39,245","3,098,447","1.3%","2.7%","10.9%","12.0%","16.0%","15.5%","6.9%","12.8%","21.9%","(X)","76,177","","45,704","22,278","31,719","39,832","60,935","83,032","","21.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,509,414","46,574","1,792,170","1.1%","2.4%","9.8%","10.7%","14.4%","14.2%","6.5%","13.6%","27.4%","61,462","86,695","","52,239","26,034","38,303","48,082","75,749","101,603","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,274,366","31,765","1,306,277","1.6%","3.1%","12.4%","13.8%","18.2%","17.3%","7.5%","11.7%","14.3%","50,373","61,748","","37,223","17,401","25,850","32,117","51,054","68,086","","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","993,302","26,244","621,434","2.5%","5.8%","18.7%","17.9%","18.3%","13.4%","5.7%","8.6%","9.2%","(X)","50,015","","31,109","18,599","26,477","29,996","42,423","57,560","","18.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","526,317","30,564","358,553","2.3%","5.0%","16.9%","17.1%","17.2%","13.4%","6.2%","10.3%","11.7%","41,440","54,664","","35,901","22,223","30,931","36,070","51,553","75,074","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","466,985","21,976","262,881","2.7%","6.9%","21.2%","19.1%","19.9%","13.3%","4.9%","6.3%","5.8%","35,070","43,674","","26,499","13,009","21,260","25,060","38,863","50,875","","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,404,534","35,580","6,664,138","1.6%","3.3%","11.5%","13.9%","18.7%","15.6%","7.0%","11.5%","16.9%","(X)","69,491","","40,996","20,814","30,614","36,736","55,360","71,684","","24.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,360,629","40,570","3,717,680","1.5%","2.9%","10.8%","12.8%","17.2%","15.4%","7.0%","11.9%","20.5%","52,124","77,548","","46,553","23,981","35,668","43,881","63,032","86,817","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,043,905","30,878","2,946,458","1.8%","3.8%","12.5%","15.2%","20.5%","15.9%","7.0%","11.0%","12.3%","46,208","59,326","","35,922","16,203","23,940","31,321","49,180","62,172","","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,102,499","29,355","3,279,797","2.0%","4.4%","16.8%","18.6%","21.6%","13.4%","5.4%","7.5%","10.3%","(X)","53,657","","33,096","20,359","26,632","31,060","46,171","59,243","","18.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,665,726","32,379","1,873,932","1.8%","3.5%","15.3%","17.0%","20.6%","14.1%","5.7%","8.5%","13.5%","42,039","59,977","","38,557","22,494","30,714","37,339","57,212","80,225","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,436,773","25,123","1,405,865","2.2%","5.5%","18.9%","20.8%","23.0%","12.5%","5.0%","6.1%","6.1%","36,113","45,231","","29,576","15,674","21,446","26,164","39,364","50,162","","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","455,148","34,336","286,542","2.2%","2.5%","10.1%","16.7%","23.8%","16.6%","6.2%","10.2%","11.6%","(X)","58,591","","40,741","30,667","33,374","37,644","45,787","65,049","","19.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","250,817","42,186","173,889","2.0%","2.1%","7.4%","11.7%","20.8%","18.0%","7.1%","14.2%","16.7%","52,031","69,099","","50,615","38,773","41,998","50,258","57,952","80,867","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","204,331","26,799","112,653","2.5%","3.2%","14.2%","24.5%","28.6%","14.4%","4.9%","4.1%","3.7%","37,016","42,370","","31,353","17,462","23,957","28,483","39,956","51,937","","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,133,379","30,635","3,812,912","1.6%","3.5%","13.5%","17.3%","21.5%","16.5%","7.0%","9.2%","10.0%","(X)","56,026","","36,014","20,775","29,284","32,285","50,191","62,324","","17.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,175,421","36,958","2,177,056","1.3%","2.7%","10.6%","14.5%","20.8%","17.7%","7.9%","11.1%","13.5%","50,051","63,792","","42,400","25,295","35,968","41,237","60,902","77,102","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,957,958","24,837","1,635,856","2.0%","4.4%","17.3%","21.0%","22.5%","14.8%","5.9%","6.8%","5.3%","37,365","45,690","","29,777","15,388","22,097","27,034","41,029","54,680","","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,961,053","29,108","1,304,620","2.2%","4.9%","17.7%","18.5%","21.0%","13.8%","5.7%","7.5%","8.7%","(X)","51,427","","32,950","22,135","27,321","32,197","42,195","55,490","","21.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,049,462","35,488","759,278","1.8%","3.7%","14.3%","15.7%","20.3%","15.9%","6.7%","10.0%","11.7%","43,829","59,388","","40,923","27,294","33,366","41,034","55,088","71,406","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","911,591","22,889","545,342","2.9%","6.4%","22.5%","22.5%","22.1%","10.8%","4.4%","4.1%","4.4%","32,096","40,342","","27,040","15,608","21,381","26,801","35,839","45,524","","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,123,431","28,933","1,223,848","1.9%","3.3%","15.2%","16.2%","20.8%","14.7%","5.8%","10.2%","11.8%","(X)","56,856","","33,828","21,904","26,567","31,625","44,049","61,139","","16.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,115,486","34,277","712,893","1.7%","2.6%","13.4%","14.1%","20.0%","15.4%","6.3%","11.3%","15.2%","48,001","63,200","","40,467","25,691","31,372","38,653","55,165","77,190","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,007,945","24,310","510,955","2.2%","4.3%","17.7%","19.2%","21.8%","13.8%","5.2%","8.6%","7.2%","38,774","48,005","","28,457","18,147","22,149","26,505","35,954","50,988","","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,809,617","31,911","4,286,011","1.7%","2.9%","12.4%","16.3%","21.1%","16.4%","6.8%","10.2%","12.2%","(X)","59,903","","37,775","21,860","30,304","35,547","50,791","66,931","","20.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,549,009","39,778","2,442,116","1.6%","2.4%","10.0%","13.6%","20.1%","17.4%","7.4%","11.6%","15.9%","50,976","67,818","","45,448","26,723","36,580","43,017","61,234","82,479","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,260,608","26,505","1,843,895","1.8%","3.7%","15.6%","19.9%","22.4%","15.1%","6.0%","8.3%","7.2%","40,214","49,421","","31,231","16,420","23,178","29,630","41,647","57,016","","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","585,421","34,890","349,731","1.7%","2.1%","11.2%","13.4%","22.3%","17.3%","7.5%","11.6%","12.8%","(X)","61,685","","41,130","23,540","34,328","37,783","50,880","70,840","","20.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","297,315","40,264","197,061","1.7%","2.0%","10.7%","10.7%","21.4%","17.1%","7.6%","12.3%","16.5%","51,368","68,326","","46,334","26,376","40,411","43,329","61,136","80,406","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","288,106","30,200","152,670","1.8%","2.2%","11.8%","16.8%","23.6%","17.5%","7.5%","10.7%","8.1%","44,050","53,112","","36,076","20,680","27,162","31,875","42,157","63,536","","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,445,188","27,657","1,562,576","1.8%","4.7%","17.2%","19.6%","21.7%","14.2%","5.2%","7.3%","8.4%","(X)","50,361","","32,063","19,637","26,184","31,663","44,151","52,733","","20.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,267,316","31,974","872,974","1.5%","3.6%","14.6%","17.5%","20.5%","16.1%","5.9%","8.8%","11.5%","42,238","57,032","","37,769","22,343","30,558","39,884","53,775","66,458","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,177,872","23,796","689,602","2.2%","6.0%","20.4%","22.3%","23.2%","11.8%","4.3%","5.3%","4.5%","34,182","41,916","","27,565","14,149","21,501","26,308","36,398","49,430","","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","487,740","30,002","318,906","2.3%","3.6%","15.0%","20.8%","25.8%","14.6%","4.7%","5.9%","7.4%","(X)","49,436","","34,248","24,776","29,135","32,264","41,273","51,443","","15.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","260,041","35,574","184,039","1.7%","2.6%","12.7%","16.7%","25.6%","17.2%","5.7%","7.4%","10.3%","42,605","56,608","","40,942","26,760","36,472","40,662","51,155","60,150","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","227,699","25,063","134,867","3.2%","4.9%","18.2%","26.3%","26.0%","10.9%","3.4%","3.9%","3.3%","33,268","39,647","","28,439","15,959","21,713","27,162","35,457","47,466","","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,341,698","28,489","2,150,235","1.9%","4.4%","17.3%","18.9%","21.9%","13.5%","5.3%","7.4%","9.4%","(X)","52,385","","32,406","20,461","26,490","31,615","45,600","56,896","","20.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,744,679","32,734","1,210,761","1.6%","3.3%","14.4%","16.8%","21.0%","15.1%","6.0%","8.9%","12.9%","42,525","59,809","","39,198","22,922","31,699","39,931","54,746","72,077","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,597,019","23,982","939,474","2.4%","5.8%","21.0%","21.5%","23.0%","11.5%","4.4%","5.6%","4.9%","34,427","42,816","","27,653","15,653","21,326","26,578","38,506","48,477","","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,024,656","31,038","9,464,799","2.2%","4.8%","16.6%","15.9%","19.0%","14.2%","5.6%","8.8%","12.9%","(X)","58,493","","36,361","21,362","28,000","35,462","51,887","70,031","","20.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,607,762","36,598","5,549,844","1.7%","3.7%","14.5%","15.0%","17.8%","13.9%","6.0%","10.3%","17.0%","46,791","66,619","","42,054","25,664","33,211","42,435","66,212","90,591","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,416,894","25,264","3,914,955","2.8%","6.5%","19.5%","17.1%","20.6%","14.6%","4.9%","6.8%","7.1%","36,934","46,973","","30,242","14,998","21,930","28,877","45,857","56,166","","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,561,032","29,188","929,948","1.8%","3.2%","13.9%","17.0%","21.0%","14.5%","7.1%","9.7%","12.0%","(X)","57,385","","36,431","23,626","30,517","32,661","46,255","70,017","","17.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","866,024","36,791","590,597","1.3%","2.5%","11.3%","14.3%","19.0%","15.4%","8.2%","11.9%","16.1%","50,741","65,245","","46,519","27,474","36,623","41,844","60,964","83,048","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","695,008","21,143","339,351","2.5%","4.4%","18.5%","21.7%","24.4%","12.7%","5.2%","5.8%","4.9%","36,060","43,706","","26,674","17,217","22,757","25,276","32,143","51,666","","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","370,402","31,002","218,367","1.7%","3.4%","11.1%","16.9%","24.9%","17.2%","6.6%","9.2%","8.9%","(X)","55,225","","36,529","21,884","30,898","36,054","40,348","55,525","","17.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","187,651","35,502","120,497","1.5%","2.3%","9.6%","15.5%","23.6%","17.7%","6.7%","11.0%","12.1%","47,960","62,040","","41,377","29,187","36,005","38,966","50,748","66,856","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","182,751","26,541","97,870","2.0%","4.7%","13.0%","18.6%","26.6%","16.5%","6.6%","7.0%","5.0%","40,173","46,833","","31,876","13,401","24,739","33,670","32,958","47,024","","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,630,121","35,296","3,039,453","1.4%","3.1%","12.1%","14.7%","18.7%","14.4%","6.4%","11.1%","18.1%","(X)","66,362","","41,361","22,657","29,674","35,656","55,799","78,049","","19.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,418,677","41,421","1,716,527","1.2%","2.6%","10.3%","12.5%","17.4%","14.4%","6.5%","12.2%","22.9%","54,392","74,812","","50,020","27,318","34,544","43,346","71,065","100,317","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,211,444","30,119","1,322,926","1.7%","3.8%","14.5%","17.5%","20.4%","14.4%","6.1%","9.7%","11.9%","42,342","55,397","","34,491","16,937","23,852","30,483","45,784","60,921","","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,830,405","35,414","2,370,621","1.3%","2.2%","10.9%","14.4%","19.3%","15.3%","7.5%","12.1%","17.1%","(X)","66,996","","41,140","24,751","31,319","37,293","55,795","71,123","","16.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,065,091","41,859","1,421,299","1.1%","1.7%","8.9%","12.8%","17.8%","15.1%","7.8%","13.4%","21.4%","56,215","74,547","","50,075","28,505","37,320","46,504","70,177","90,717","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,765,314","28,451","949,322","1.6%","2.9%","13.8%","16.7%","21.6%","15.7%","6.9%","10.3%","10.6%","44,422","55,691","","32,776","19,638","24,674","30,737","44,389","58,794","","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","835,546","27,527","525,553","1.9%","4.7%","17.7%","19.1%","20.7%","14.1%","5.9%","8.4%","7.7%","(X)","49,451","","31,634","18,618","26,658","30,816","41,512","52,317","","16.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","443,855","33,822","300,026","1.4%","4.0%","13.8%","15.5%","20.1%","16.4%","7.3%","11.0%","10.7%","45,082","56,295","","39,828","23,884","34,013","40,341","53,355","63,858","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","391,691","22,951","225,527","2.5%","5.6%","22.9%","23.9%","21.5%","10.9%","4.0%","5.0%","3.7%","31,824","40,347","","26,183","13,926","20,838","25,615","35,903","48,198","","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,270,888","31,474","2,030,520","1.7%","2.9%","12.4%","17.0%","23.8%","17.3%","6.8%","9.0%","9.1%","(X)","55,178","","37,222","22,730","30,884","35,361","47,383","61,217","","16.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,701,859","37,774","1,163,940","1.6%","2.2%","9.7%","14.2%","22.9%","18.8%","7.7%","10.9%","12.0%","49,306","61,972","","43,118","26,670","37,155","42,369","57,485","72,205","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,569,029","26,173","866,580","1.9%","3.8%","16.1%","20.7%","25.0%","15.2%","5.6%","6.6%","5.1%","38,594","46,053","","31,199","17,163","23,994","29,090","41,171","55,515","","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","336,754","31,524","212,258","2.3%","3.6%","12.0%","16.2%","19.5%","15.6%","8.3%","12.5%","10.1%","(X)","57,466","","37,811","25,376","32,377","35,229","46,092","61,476","","22.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","181,457","42,376","127,760","1.3%","2.1%","9.1%","12.4%","17.8%","15.6%","9.8%","17.6%","14.3%","55,965","67,386","","50,641","31,821","46,539","51,053","54,305","70,198","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","155,297","22,526","84,498","3.7%","5.8%","16.4%","21.8%","22.0%","15.7%","6.1%","4.7%","3.8%","36,064","42,467","","27,361","12,772","21,213","25,453","40,543","57,720","","(X)"
