"Label (Grouping)","Population 16 years and over with earnings","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","1,613,821","35,266","1,076,430","23,061","33,981","115,883","169,474","240,378","181,153","74,391","112,399","125,710","46,481","60,178","","41,181","26,549","32,106","36,994","51,678","62,008"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,613,821","(X)","1,076,430","2.1%","3.2%","10.8%","15.7%","22.3%","16.8%","6.9%","10.4%","11.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","853,194","41,524","623,283","12,294","13,687","50,912","85,482","131,303","108,629","46,485","76,839","97,652","51,291","68,569","","49,198","32,358","39,243","46,595","65,370","77,375"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","853,194","(X)","623,283","2.0%","2.2%","8.2%","13.7%","21.1%","17.4%","7.5%","12.3%","15.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","760,627","27,519","453,147","10,767","20,294","64,971","83,992","109,075","72,524","27,906","35,560","28,058","40,848","48,635","","33,378","19,922","24,087","29,867","44,206","55,868"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","760,627","(X)","453,147","2.4%","4.5%","14.3%","18.5%","24.1%","16.0%","6.2%","7.8%","6.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,222,836","32,189","1,460,752","28,310","45,820","191,713","248,500","334,813","241,208","97,088","130,682","142,618","42,834","55,887","","37,674","24,631","31,313","35,326","50,711","60,270"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,222,836","(X)","1,460,752","1.9%","3.1%","13.1%","17.0%","22.9%","16.5%","6.6%","8.9%","9.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,151,576","38,545","819,502","15,779","20,787","87,182","121,376","175,974","143,265","62,953","88,694","103,492","48,545","62,882","","44,055","29,567","37,159","43,138","60,151","72,106"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,151,576","(X)","819,502","1.9%","2.5%","10.6%","14.8%","21.5%","17.5%","7.7%","10.8%","12.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,071,260","27,281","641,250","12,531","25,033","104,531","127,124","158,839","97,943","34,135","41,988","39,126","38,763","46,949","","31,988","18,320","23,446","30,323","42,327","54,290"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,071,260","(X)","641,250","2.0%","3.9%","16.3%","19.8%","24.8%","15.3%","5.3%","6.5%","6.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,251,396","32,102","1,515,194","32,138","79,546","216,592","234,453","293,561","228,668","99,836","141,394","189,006","43,919","58,056","","37,599","22,913","30,786","35,064","50,699","60,992"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,251,396","(X)","1,515,194","2.1%","5.2%","14.3%","15.5%","19.4%","15.1%","6.6%","9.3%","12.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,151,035","41,101","826,680","12,271","34,658","88,465","112,535","137,154","130,873","60,918","98,757","151,049","51,733","68,790","","47,438","29,653","41,161","46,730","62,789","80,954"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,151,035","(X)","826,680","1.5%","4.2%","10.7%","13.6%","16.6%","15.8%","7.4%","11.9%","18.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,100,361","26,538","688,514","19,867","44,888","128,127","121,918","156,407","97,795","38,918","42,637","37,957","37,075","45,168","","30,864","17,030","22,078","29,322","42,914","52,032"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,100,361","(X)","688,514","2.9%","6.5%","18.6%","17.7%","22.7%","14.2%","5.7%","6.2%","5.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","754,324","35,231","469,134","8,181","7,960","41,643","79,725","118,720","80,622","35,285","45,908","51,090","46,246","58,676","","39,550","25,504","31,798","36,274","47,375","60,347"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","754,324","(X)","469,134","1.7%","1.7%","8.9%","17.0%","25.3%","17.2%","7.5%","9.8%","10.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","386,835","40,678","259,939","4,376","3,648","16,518","35,879","63,676","49,518","20,599","29,170","36,555","51,029","65,117","","45,120","30,174","38,043","43,064","55,497","70,482"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","386,835","(X)","259,939","1.7%","1.4%","6.4%","13.8%","24.5%","19.0%","7.9%","11.2%","14.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","367,489","30,423","209,195","3,805","4,312","25,125","43,846","55,044","31,104","14,686","16,738","14,535","40,873","50,672","","33,623","19,544","25,700","30,404","40,739","52,855"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","367,489","(X)","209,195","1.8%","2.1%","12.0%","21.0%","26.3%","14.9%","7.0%","8.0%","6.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,372,619","45,891","2,333,469","35,914","36,849","162,773","264,495","392,763","368,176","184,257","330,746","557,496","60,744","78,962","","52,011","30,300","36,700","44,022","65,193","89,066"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,372,619","(X)","2,333,469","1.5%","1.6%","7.0%","11.3%","16.8%","15.8%","7.9%","14.2%","23.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,712,600","51,361","1,279,372","16,884","20,481","81,101","131,614","200,810","196,939","101,156","178,611","351,776","63,272","86,613","","59,540","35,785","42,122","51,521","75,922","105,607"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,712,600","(X)","1,279,372","1.3%","1.6%","6.3%","10.3%","15.7%","15.4%","7.9%","14.0%","27.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,660,019","40,552","1,054,097","19,030","16,368","81,672","132,881","191,953","171,237","83,101","152,135","205,720","56,545","69,676","","46,552","22,166","30,657","38,518","56,508","77,338"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,660,019","(X)","1,054,097","1.8%","1.6%","7.7%","12.6%","18.2%","16.2%","7.9%","14.4%","19.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,034,423","45,737","2,574,137","34,177","32,839","133,853","271,048","420,038","416,172","205,108","392,217","668,685","63,353","85,762","","52,470","30,693","39,463","42,066","65,373","85,717"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,034,423","(X)","2,574,137","1.3%","1.3%","5.2%","10.5%","16.3%","16.2%","8.0%","15.2%","26.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,052,468","52,201","1,440,167","18,564","15,476","59,261","131,717","211,352","222,781","108,710","222,824","449,482","70,483","95,440","","61,632","35,290","46,189","51,959","80,139","102,236"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,052,468","(X)","1,440,167","1.3%","1.1%","4.1%","9.1%","14.7%","15.5%","7.5%","15.5%","31.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,981,955","38,781","1,133,970","15,613","17,363","74,592","139,331","208,686","193,391","96,398","169,393","219,203","57,289","73,471","","46,178","24,140","30,993","35,925","54,966","75,099"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,981,955","(X)","1,133,970","1.4%","1.5%","6.6%","12.3%","18.4%","17.1%","8.5%","14.9%","19.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,238,216","33,328","3,287,601","61,293","85,478","348,143","512,670","667,257","533,547","241,542","364,523","473,148","48,721","63,827","","40,450","23,192","31,028","36,272","54,634","71,623"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,238,216","(X)","3,287,601","1.9%","2.6%","10.6%","15.6%","20.3%","16.2%","7.3%","11.1%","14.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,733,979","41,137","1,889,445","31,814","36,979","162,343","246,370","355,684","315,733","147,683","239,428","353,411","53,150","72,062","","48,652","27,318","37,006","45,243","68,559","89,535"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,733,979","(X)","1,889,445","1.7%","2.0%","8.6%","13.0%","18.8%","16.7%","7.8%","12.7%","18.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,504,237","27,339","1,398,156","29,479","48,499","185,800","266,300","311,573","217,814","93,859","125,095","119,737","41,475","52,698","","32,129","18,494","24,386","30,232","43,105","61,322"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,504,237","(X)","1,398,156","2.1%","3.5%","13.3%","19.0%","22.3%","15.6%","6.7%","8.9%","8.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,280,148","40,977","2,090,621","26,836","35,512","131,194","257,153","445,605","381,430","170,427","280,049","362,415","54,202","70,898","","47,050","28,327","35,337","41,858","60,316","75,925"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,280,148","(X)","2,090,621","1.3%","1.7%","6.3%","12.3%","21.3%","18.2%","8.2%","13.4%","17.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,703,059","47,704","1,189,388","14,568","16,614","59,423","115,634","232,550","220,642","101,667","174,330","253,960","60,441","78,412","","53,404","32,477","41,380","51,086","71,112","90,214"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,703,059","(X)","1,189,388","1.2%","1.4%","5.0%","9.7%","19.6%","18.6%","8.5%","14.7%","21.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,577,089","34,418","901,233","12,268","18,898","71,771","141,519","213,055","160,788","68,760","105,719","108,455","49,242","60,982","","40,309","22,271","27,252","34,926","50,964","68,321"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,577,089","(X)","901,233","1.4%","2.1%","8.0%","15.7%","23.6%","17.8%","7.6%","11.7%","12.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,386,225","29,341","940,750","27,393","46,471","167,543","170,167","195,058","133,204","52,157","70,079","78,678","39,121","51,026","","32,574","20,764","27,158","31,459","44,148","56,208"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,386,225","(X)","940,750","2.9%","4.9%","17.8%","18.1%","20.7%","14.2%","5.5%","7.4%","8.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","705,835","34,908","509,596","9,921","20,048","76,444","81,860","102,499","79,529","32,292","47,801","59,202","43,024","58,559","","40,549","25,766","34,438","41,180","52,916","75,537"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","705,835","(X)","509,596","1.9%","3.9%","15.0%","16.1%","20.1%","15.6%","6.3%","9.4%","11.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","680,390","24,972","431,154","17,472","26,423","91,099","88,307","92,559","53,675","19,865","22,278","19,476","33,140","42,122","","27,427","15,894","20,904","26,246","38,744","51,043"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","680,390","(X)","431,154","4.1%","6.1%","21.1%","20.5%","21.5%","12.4%","4.6%","5.2%","4.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,226,506","34,558","2,171,275","40,565","59,586","259,158","366,009","472,519","359,401","146,863","213,474","253,700","45,427","59,284","","40,078","24,831","31,297","36,127","51,217","63,368"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,226,506","(X)","2,171,275","1.9%","2.7%","11.9%","16.9%","21.8%","16.6%","6.8%","9.8%","11.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,653,342","40,522","1,195,315","20,040","27,476","118,104","171,556","245,426","206,478","87,156","137,788","181,291","50,558","66,825","","46,379","29,841","36,978","42,579","61,474","80,008"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,653,342","(X)","1,195,315","1.7%","2.3%","9.9%","14.4%","20.5%","17.3%","7.3%","11.5%","15.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,573,164","29,965","975,960","20,525","32,110","141,054","194,453","227,093","152,923","59,707","75,686","72,409","40,496","50,047","","33,514","18,587","25,444","30,554","42,592","55,534"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,573,164","(X)","975,960","2.1%","3.3%","14.5%","19.9%","23.3%","15.7%","6.1%","7.8%","7.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","587,976","31,313","349,050","11,133","12,901","42,564","52,829","79,606","53,671","23,733","35,099","37,514","43,131","57,827","","36,953","27,804","30,843","33,040","42,150","58,287"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","587,976","(X)","349,050","3.2%","3.7%","12.2%","15.1%","22.8%","15.4%","6.8%","10.1%","10.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","311,956","37,976","201,706","6,161","5,817","22,743","23,539","43,019","30,108","16,160","23,767","30,392","49,778","66,345","","43,604","35,554","40,076","40,902","50,386","71,637"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","311,956","(X)","201,706","3.1%","2.9%","11.3%","11.7%","21.3%","14.9%","8.0%","11.8%","15.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","276,020","25,500","147,344","4,972","7,084","19,821","29,290","36,587","23,563","7,573","11,332","7,122","38,752","46,168","","30,649","21,543","21,504","27,266","37,872","50,076"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","276,020","(X)","147,344","3.4%","4.8%","13.5%","19.9%","24.8%","16.0%","5.1%","7.7%","4.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,107,588","36,077","749,980","13,836","19,107","72,996","120,108","177,026","133,730","53,388","75,353","84,436","46,645","59,417","","41,488","30,298","32,174","38,209","50,779","61,853"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,107,588","(X)","749,980","1.8%","2.5%","9.7%","16.0%","23.6%","17.8%","7.1%","10.0%","11.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","587,833","41,536","428,113","6,785","8,365","32,286","56,690","95,733","79,287","33,382","51,135","64,450","51,412","67,178","","48,359","35,188","39,866","47,080","61,412","76,735"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","587,833","(X)","428,113","1.6%","2.0%","7.5%","13.2%","22.4%","18.5%","7.8%","11.9%","15.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","519,755","30,661","321,867","7,051","10,742","40,710","63,418","81,293","54,443","20,006","24,218","19,986","41,148","49,094","","35,161","22,998","25,117","30,951","43,469","55,585"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","519,755","(X)","321,867","2.2%","3.3%","12.6%","19.7%","25.3%","16.9%","6.2%","7.5%","6.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,606,778","35,526","1,099,261","18,960","31,288","128,174","203,017","252,357","158,745","70,833","105,278","130,609","42,642","60,149","","39,505","29,609","32,879","40,057","50,293","66,105"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,606,778","(X)","1,099,261","1.7%","2.8%","11.7%","18.5%","23.0%","14.4%","6.4%","9.6%","11.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","864,654","39,335","624,654","9,313","14,775","60,418","113,611","132,925","93,039","41,142","69,895","89,536","46,706","66,888","","42,200","32,156","37,179","44,629","56,892","80,075"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","864,654","(X)","624,654","1.5%","2.4%","9.7%","18.2%","21.3%","14.9%","6.6%","11.2%","14.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","742,124","31,354","474,607","9,647","16,513","67,756","89,406","119,432","65,706","29,691","35,383","41,073","40,775","51,280","","35,206","22,654","30,016","34,179","44,728","57,018"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","742,124","(X)","474,607","2.0%","3.5%","14.3%","18.8%","25.2%","13.8%","6.3%","7.5%","8.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","805,006","40,984","521,174","7,167","8,279","33,326","69,568","104,784","91,575","39,551","69,186","97,738","55,283","72,048","","47,392","30,119","37,820","42,368","60,544","71,884"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","805,006","(X)","521,174","1.4%","1.6%","6.4%","13.3%","20.1%","17.6%","7.6%","13.3%","18.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","421,005","48,693","300,895","4,705","5,166","14,543","30,154","56,977","53,979","22,457","42,404","70,510","60,406","80,647","","54,997","33,161","44,601","52,182","74,041","90,441"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","421,005","(X)","300,895","1.6%","1.7%","4.8%","10.0%","18.9%","17.9%","7.5%","14.1%","23.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","384,001","33,514","220,279","2,462","3,113","18,783","39,414","47,807","37,596","17,094","26,782","27,228","49,291","60,302","","40,315","24,584","30,207","35,159","51,001","62,026"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","384,001","(X)","220,279","1.1%","1.4%","8.5%","17.9%","21.7%","17.1%","7.8%","12.2%","12.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,871,972","45,513","3,318,670","45,529","70,705","254,882","389,252","517,888","498,154","243,215","440,304","858,741","61,002","85,284","","51,786","28,427","35,048","44,983","67,038","92,098"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,871,972","(X)","3,318,670","1.4%","2.1%","7.7%","11.7%","15.6%","15.0%","7.3%","13.3%","25.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,546,480","52,345","1,888,227","25,246","30,352","119,106","202,900","267,087","263,438","132,739","247,972","599,387","67,007","97,383","","61,151","31,983","41,710","52,881","81,012","113,315"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,546,480","(X)","1,888,227","1.3%","1.6%","6.3%","10.7%","14.1%","14.0%","7.0%","13.1%","31.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,325,492","37,256","1,430,443","20,283","40,353","135,776","186,352","250,801","234,716","110,476","192,332","259,354","53,810","69,312","","42,862","21,040","27,397","36,865","57,310","76,287"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,325,492","(X)","1,430,443","1.4%","2.8%","9.5%","13.0%","17.5%","16.4%","7.7%","13.4%","18.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,024,001","30,276","660,531","18,495","27,634","100,571","116,457","127,355","97,099","38,081","61,438","73,401","41,615","55,313","","35,284","21,016","29,002","32,187","45,109","62,501"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,024,001","(X)","660,531","2.8%","4.2%","15.2%","17.6%","19.3%","14.7%","5.8%","9.3%","11.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","540,963","35,175","373,675","9,930","13,029","48,115","59,072","64,911","57,522","25,413","42,624","53,059","46,982","61,657","","41,281","26,968","32,595","40,860","50,762","81,914"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","540,963","(X)","373,675","2.7%","3.5%","12.9%","15.8%","17.4%","15.4%","6.8%","11.4%","14.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","483,038","25,617","286,856","8,565","14,605","52,456","57,385","62,444","39,577","12,668","18,814","20,342","36,659","47,050","","30,113","13,216","23,892","27,071","40,904","56,221"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","483,038","(X)","286,856","3.0%","5.1%","18.3%","20.0%","21.8%","13.8%","4.4%","6.6%","7.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"New York","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,429,826","41,492","6,963,659","100,192","131,190","557,985","903,135","1,247,532","1,068,313","519,073","914,589","1,521,650","56,393","80,779","","47,645","26,036","33,491","41,421","62,699","81,041"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,429,826","(X)","6,963,659","1.4%","1.9%","8.0%","13.0%","17.9%","15.3%","7.5%","13.1%","21.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,336,031","47,239","3,845,793","50,948","69,266","272,023","475,262","623,245","583,885","282,622","509,721","978,821","60,686","89,787","","52,482","30,358","40,563","50,095","72,237","96,831"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,336,031","(X)","3,845,793","1.3%","1.8%","7.1%","12.4%","16.2%","15.2%","7.3%","13.3%","25.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
