"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 to $99,999","$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"        Estimate","2,221,799","31,585","1,275,477","1.6%","3.4%","12.5%","14.4%","19.8%","17.0%","7.4%","12.2%","11.7%","47,878","58,586","","36,715","16,844","25,941","32,968","50,270","66,194","","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","990,422","26,026","619,121","3.2%","6.3%","18.8%","17.6%","19.5%","13.6%","5.3%","7.5%","8.3%","(X)","47,999","","30,871","17,091","25,349","28,525","41,585","56,681","","19.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","525,180","30,450","352,123","2.8%","5.3%","15.9%","16.9%","18.8%","14.5%","5.6%","9.0%","11.2%","41,211","53,379","","35,277","21,599","30,574","34,967","48,963","67,404","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","465,242","22,224","266,998","3.7%","7.5%","22.5%","18.5%","20.5%","12.6%","5.0%","5.5%","4.4%","33,074","40,903","","26,026","12,308","19,725","24,193","37,558","50,798","","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,136,122","33,190","6,434,149","1.9%","3.7%","12.6%","14.4%","19.1%","15.6%","6.9%","11.1%","14.7%","(X)","65,236","","39,697","19,401","29,549","36,511","52,278","69,397","","21.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,216,128","38,724","3,588,872","1.7%","3.2%","11.9%","12.9%","17.5%","15.6%","7.1%","11.8%","18.3%","51,274","73,130","","44,897","22,123","34,524","42,404","61,890","82,052","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,919,994","29,693","2,845,277","2.2%","4.3%","13.4%","16.3%","21.1%","15.5%","6.7%","10.3%","10.2%","43,000","55,280","","33,885","15,450","23,221","31,415","46,073","60,896","","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,909,198","27,066","3,040,599","2.3%","4.7%","17.1%","19.8%","21.7%","13.4%","5.0%","7.3%","8.9%","(X)","51,034","","31,390","17,431","25,368","30,227","43,806","56,312","","16.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,552,870","31,281","1,722,884","2.0%","3.5%","15.1%","17.8%","21.0%","14.1%","5.6%","8.9%","12.1%","41,859","57,881","","36,314","20,467","29,651","36,615","54,858","76,209","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,356,328","23,004","1,317,715","2.6%","6.2%","19.7%","22.3%","22.6%","12.4%","4.2%","5.3%","4.7%","34,421","42,082","","26,973","13,202","20,868","25,432","37,181","48,082","","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","427,753","31,090","275,205","2.7%","2.9%","14.1%","19.4%","24.5%","15.2%","5.4%","7.0%","8.8%","(X)","53,317","","36,648","23,153","30,353","35,458","41,521","60,357","","17.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","232,131","38,874","165,503","2.5%","2.0%","11.0%","15.1%","23.6%","17.3%","6.2%","9.7%","12.6%","45,888","62,686","","44,029","31,868","37,659","45,318","51,222","71,836","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","195,622","24,081","109,702","3.0%","4.2%","18.9%","25.9%","26.0%","12.0%","4.0%","3.0%","3.0%","33,877","39,181","","29,717","13,582","21,239","27,444","36,002","51,373","","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,965,538","28,480","3,620,817","2.0%","3.6%","14.8%","18.3%","22.0%","16.0%","6.3%","8.3%","8.7%","(X)","53,084","","33,168","19,605","27,117","31,641","47,124","61,470","","15.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,085,568","34,572","2,057,581","1.7%","2.8%","11.5%","15.7%","21.6%","17.3%","7.2%","10.2%","12.1%","46,789","60,511","","40,646","23,142","32,524","40,281","57,780","74,214","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,879,970","23,023","1,563,236","2.3%","4.8%","19.0%","21.7%","22.5%","14.2%","5.2%","5.9%","4.3%","35,984","43,309","","27,482","13,866","21,474","26,224","38,043","53,713","","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,922,285","26,870","1,252,961","2.6%","5.6%","19.2%","19.3%","21.3%","13.1%","5.1%","6.8%","7.1%","(X)","48,115","","31,454","19,664","26,335","30,944","41,627","51,552","","17.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,028,327","31,989","725,439","2.3%","4.2%","15.9%","16.8%","20.5%","15.1%","6.2%","8.9%","10.2%","41,415","55,685","","37,372","23,657","31,827","37,558","52,496","68,426","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","893,958","21,812","527,522","3.2%","7.5%","23.6%","22.7%","22.3%","10.4%","3.5%","4.0%","2.8%","31,543","37,704","","25,821","13,544","20,611","25,045","35,846","42,153","","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,010,713","26,782","1,103,982","2.4%","4.0%","14.2%","16.9%","21.2%","15.5%","6.5%","9.2%","10.0%","(X)","54,928","","31,808","18,435","26,698","29,948","42,384","56,583","","13.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,057,861","31,888","643,083","1.9%","3.5%","11.8%","15.3%","19.8%","16.6%","7.0%","10.7%","13.3%","47,402","61,836","","37,336","21,777","31,306","35,611","52,130","71,603","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","952,852","22,077","460,899","3.1%","4.8%","17.6%","19.1%","23.2%","14.0%","5.9%","7.0%","5.4%","37,381","45,290","","26,358","14,219","21,521","24,516","36,346","46,670","","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,706,517","30,690","4,118,450","1.9%","3.5%","13.4%","17.3%","21.7%","16.3%","6.3%","9.1%","10.6%","(X)","56,795","","35,909","20,835","28,483","33,238","48,200","64,775","","18.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,484,795","36,877","2,345,221","1.8%","2.9%","10.4%","14.3%","21.2%","17.7%","7.0%","10.7%","14.0%","49,330","64,638","","42,117","25,405","35,372","41,348","58,165","80,890","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,221,722","24,975","1,773,229","2.0%","4.2%","17.5%","21.2%","22.4%","14.5%","5.3%","6.9%","6.0%","37,414","46,421","","29,688","14,659","22,063","27,729","39,890","55,139","","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","578,164","31,135","342,780","1.9%","2.7%","11.7%","16.6%","20.8%","16.0%","8.0%","10.4%","11.9%","(X)","58,671","","37,479","22,339","29,099","35,428","52,221","66,004","","19.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","293,124","36,136","191,518","1.6%","2.5%","10.1%","13.7%","19.7%","16.8%","8.6%","12.4%","14.6%","50,975","64,501","","42,861","27,156","34,600","41,728","61,063","77,766","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","285,040","27,110","151,262","2.3%","3.0%","13.7%","20.2%","22.3%","15.1%","7.3%","7.8%","8.4%","41,074","51,290","","32,320","17,882","23,463","31,031","44,190","60,259","","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,307,785","26,566","1,428,251","2.1%","5.0%","17.2%","20.0%","22.4%","13.9%","4.9%","6.9%","7.6%","(X)","48,595","","31,197","17,360","25,309","30,693","43,103","51,875","","18.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,191,452","31,433","797,830","1.8%","3.9%","14.2%","17.6%","22.1%","15.3%","5.7%","8.8%","10.6%","41,740","55,542","","36,903","20,927","30,584","37,431","52,405","63,983","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,116,333","22,193","630,421","2.6%","6.4%","21.0%","23.1%","22.7%","12.2%","3.8%","4.5%","3.8%","32,402","39,804","","26,351","12,911","20,564","25,239","36,031","46,931","","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","481,967","27,212","307,031","3.0%","3.6%","17.0%","23.2%","24.2%","13.2%","3.7%","5.9%","6.3%","(X)","46,849","","31,526","21,369","26,924","31,261","38,959","48,323","","14.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","254,822","31,859","175,403","2.8%","2.4%","13.1%","20.7%","24.3%","16.1%","4.1%","7.6%","8.8%","40,721","53,785","","36,731","24,885","31,285","38,194","47,262","59,480","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","227,145","22,560","131,628","3.1%","5.1%","22.3%","26.5%","24.0%","9.5%","3.1%","3.7%","2.8%","31,792","37,608","","26,408","17,010","21,385","25,847","33,126","41,014","","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,208,016","26,884","2,010,410","2.2%","4.9%","17.4%","20.2%","22.4%","13.6%","4.8%","6.8%","7.7%","(X)","49,829","","31,292","17,721","25,542","30,710","42,459","54,741","","16.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,674,482","31,630","1,134,606","1.9%","3.9%","13.8%","18.2%","21.8%","15.1%","5.7%","8.6%","11.0%","41,828","57,595","","36,609","20,055","30,890","36,944","54,230","72,040","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,533,534","22,301","875,804","2.7%","6.1%","22.1%","22.9%","23.1%","11.6%","3.6%","4.5%","3.5%","32,398","39,768","","26,302","14,332","20,545","25,667","36,840","46,852","","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,154,246","28,691","8,646,368","2.3%","5.7%","17.5%","16.5%","19.3%","13.8%","5.5%","8.4%","10.9%","(X)","54,524","","33,528","18,998","26,576","33,133","50,613","64,294","","18.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,164,241","33,265","5,085,385","2.1%","4.7%","15.4%","15.0%","18.2%","14.3%","5.9%","9.9%","14.7%","44,802","62,026","","40,317","22,362","31,623","41,106","61,839","81,141","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,990,005","23,266","3,560,983","2.7%","7.2%","20.6%","18.6%","21.0%","13.2%","4.9%","6.2%","5.6%","35,453","43,809","","27,446","13,639","21,310","27,203","42,753","52,603","","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,464,604","26,426","855,793","2.1%","4.3%","15.2%","17.2%","20.9%","15.6%","6.6%","9.0%","8.9%","(X)","53,113","","33,915","20,895","27,917","30,803","42,334","61,972","","15.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","803,334","35,153","538,688","2.0%","3.5%","12.6%","13.6%","19.6%","17.3%","8.0%","11.3%","12.1%","48,540","60,297","","42,379","24,687","35,815","40,163","55,615","73,138","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","661,270","19,847","317,105","2.5%","5.8%","19.6%","23.4%","23.0%","12.7%","4.3%","5.3%","3.5%","34,062","40,909","","25,180","15,929","21,609","22,480","31,967","48,115","","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","374,873","28,629","212,596","2.3%","3.0%","12.6%","18.7%","24.8%","16.7%","5.4%","8.1%","8.4%","(X)","52,882","","34,275","20,928","28,529","33,011","40,646","51,410","","13.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","192,362","32,853","121,109","2.5%","2.9%","9.7%","16.5%","24.5%","17.6%","5.9%","9.7%","10.5%","44,776","58,120","","39,153","22,640","33,386","39,640","50,707","63,502","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","182,511","24,227","91,487","2.0%","3.2%","16.5%","21.5%","25.2%","15.5%","4.8%","5.9%","5.5%","38,017","45,949","","29,819","17,024","21,842","29,205","34,210","44,104","","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,485,536","33,392","2,949,281","1.9%","3.4%","13.0%","14.8%","19.7%","14.4%","6.1%","10.2%","16.6%","(X)","63,594","","40,098","20,503","27,973","35,960","52,607","76,169","","16.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,335,224","40,373","1,663,334","1.7%","2.5%","10.8%","12.9%","18.2%","14.5%","6.6%","11.4%","21.5%","52,125","72,226","","46,800","23,887","32,354","43,297","67,328","100,580","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,150,312","27,529","1,285,947","2.1%","4.6%","15.8%","17.2%","21.6%","14.3%","5.4%","8.7%","10.3%","41,104","52,429","","32,375","15,785","22,219","30,082","42,957","57,201","","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,657,249","31,989","2,197,117","1.7%","2.8%","12.5%","14.7%","19.7%","15.9%","7.1%","11.3%","14.1%","(X)","61,521","","37,759","20,998","30,418","35,563","51,658","66,796","","14.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,958,338","40,137","1,308,353","1.4%","2.3%","10.8%","12.4%","17.8%","16.2%","7.4%","13.1%","18.5%","52,529","68,882","","46,358","23,799","35,863","43,453","64,794","84,324","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,698,911","25,974","888,764","2.2%","3.5%","15.1%","18.1%","22.5%","15.5%","6.7%","8.7%","7.7%","41,062","50,684","","30,946","15,839","23,433","28,726","40,993","55,926","","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","856,068","26,441","537,228","2.5%","5.4%","18.5%","19.1%","20.1%","14.5%","5.2%","7.8%","6.9%","(X)","47,953","","30,980","18,605","26,175","29,723","40,133","52,912","","16.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","450,085","32,424","307,356","2.2%","4.1%","13.2%","16.7%","20.0%","16.8%","6.7%","10.8%","9.6%","44,159","55,665","","37,555","24,327","32,650","40,369","48,839","62,189","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","405,983","21,236","229,872","3.0%","7.1%","25.6%","22.2%","20.3%","11.5%","3.2%","3.8%","3.3%","30,885","37,642","","24,728","12,641","20,196","24,171","35,812","48,565","","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,193,584","30,039","1,918,546","2.0%","3.5%","13.5%","18.2%","23.8%","16.9%","6.6%","7.9%","7.8%","(X)","52,590","","35,036","20,282","28,560","32,206","46,204","60,619","","14.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,657,550","35,480","1,097,271","1.7%","2.7%","10.7%","15.2%","23.4%","18.7%","7.6%","9.4%","10.5%","46,898","59,144","","41,147","22,475","34,196","40,747","55,264","70,399","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,536,034","24,519","821,275","2.3%","4.5%","17.3%","22.1%","24.2%","14.3%","5.1%","5.9%","4.2%","36,535","43,833","","29,425","15,270","22,277","26,778","39,788","53,273","","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","334,565","29,473","205,556","2.9%","3.6%","15.2%","15.0%","19.6%","17.0%","7.3%","11.4%","8.0%","(X)","52,690","","35,739","22,244","31,693","32,369","41,869","60,222","","16.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","181,581","40,568","126,032","1.7%","2.2%","12.9%","10.3%","19.1%","18.1%","9.2%","15.2%","11.2%","51,932","61,138","","47,832","35,586","42,891","47,394","51,413","70,155","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","152,984","21,117","79,524","4.8%","5.8%","19.0%","22.5%","20.4%","15.3%","4.3%","5.3%","2.8%","33,152","39,301","","25,575","13,785","20,010","24,483","34,621","50,469","","(X)"
